row_label_raw,row_label_full,col_0,Nhà cửa vật kiến trúc VND,Phương tiện vận tải VND,Thiết bị văn phòng VND,Tài sản khác VND,Tổng VND,numeric__Nhà cửa vật kiến trúc VND,numeric__Phương tiện vận tải VND,numeric__Thiết bị văn phòng VND,numeric__Tài sản khác VND,numeric__Tổng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,
Tại ngày 01/01/2015,NGUYÊN GIÁ > Tại ngày 01/01/2015,Tại ngày 01/01/2015,11.123.285.353,5.537.752.727,1.836.537.927,1.550.417.005,20.047.993.012,11123285353.0,5537752727.0,1836537927.0,1550417005.0,20047993012.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,728.488.182,5.061.701.818,390.900.299,-,6.181.090.299,728488182.0,5061701818.0,390900299.0,,6181090299.0
Tại ngày 31/12/2015,NGUYÊN GIÁ > Tại ngày 31/12/2015,Tại ngày 31/12/2015,11.851.773.535,10.599.454.545,2.227.438.226,1.550.417.005,26.229.083.311,11851773535.0,10599454545.0,2227438226.0,1550417005.0,26229083311.0
GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,,,,,
Tại ngày 01/01/2015,GIÁ TRỊ HAO MÔN LỦY KẾ > Tại ngày 01/01/2015,Tại ngày 01/01/2015,1.669.437.842,384.566.161,1.249.965.697,1.435.386.065,4.739.355.765,1669437842.0,384566161.0,1249965697.0,1435386065.0,4739355765.0
Khấu hao trong năm,GIÁ TRỊ HAO MÔN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,426.309.809,1.179.439.698,431.478.341,115.030.940,2.152.258.788,426309809.0,1179439698.0,431478341.0,115030940.0,2152258788.0
Tại ngày 31/12/2015,GIÁ TRỊ HAO MÔN LỦY KẾ > Tại ngày 31/12/2015,Tại ngày 31/12/2015,2.095.747.651,1.564.005.859,1.681.444.038,1.550.417.005,6.891.614.553,2095747651.0,1564005859.0,1681444038.0,1550417005.0,6891614553.0
GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,,,,,
Tại ngày 01/01/2015,GIÁ TRỊ CÔN LẠI > Tại ngày 01/01/2015,Tại ngày 01/01/2015,9.453.847.511,5.153.186.566,586.572.230,115.030.940,15.308.637.247,9453847511.0,5153186566.0,586572230.0,115030940.0,15308637247.0
Tại ngày 31/12/2015,GIÁ TRỊ CÔN LẠI > Tại ngày 31/12/2015,Tại ngày 31/12/2015,9.756.025.884,9.035.448.686,545.994.188,-,19.337.468.758,9756025884.0,9035448686.0,545994188.0,,19337468758.0
