row_label_raw,row_label_full,col_0,Giá trị còn lại > Tỷ lệ sở hữu %,Giá trị còn lại > Ngày 31 tháng 12 năm 2019 VND,Giá trị còn lại > Tỷ lệ sở hữu %_1,Giá trị còn lại > Ngày 31 tháng 12 năm 2018 VND,numeric__Giá trị còn lại > Tỷ lệ sở hữu %,numeric__Giá trị còn lại > Ngày 31 tháng 12 năm 2019 VND,numeric__Giá trị còn lại > Tỷ lệ sở hữu %_1,numeric__Giá trị còn lại > Ngày 31 tháng 12 năm 2018 VND
"Công ty TNHH Trồng rừng Trường Thành OJI (""OJI"")","Công ty TNHH Trồng rừng Trường Thành OJI (""OJI"")","Công ty TNHH Trồng rừng Trường Thành OJI (""OJI"")","51,00",71.806.835.322,"51,00",92.453.305.850,51.0,71806835322.0,51.0,92453305850.0
"Công ty Cổ phần Bao bì Trường Thành (""Bao bì"")","Công ty Cổ phần Bao bì Trường Thành (""Bao bì"")","Công ty Cổ phần Bao bì Trường Thành (""Bao bì"")","43,76",-,"43,76",-,43.76,,43.76,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,71.806.835.322,,92.453.305.850,,71806835322.0,,92453305850.0
