row_label_raw,row_label_full,col_0,Số cuối nămNợ gốc,VNDSố đầu nămNợ gốc,numeric__Số cuối nămNợ gốc,numeric__VNDSố đầu nămNợ gốc
"Đông Á, CN Bình Dương","Đông Á, CN Bình Dương","Đông Á, CN Bình Dương",123.292.700.000,123.292.700.000,123292700000.0,123292700000.0
"Agribank, CN BMT","Agribank, CN BMT","Agribank, CN BMT",1.900.000.000,7.200.000.000,1900000000.0,7200000000.0
"VDB, CN Đắk Lắk – Đắk Nông","VDB, CN Đắk Lắk – Đắk Nông","VDB, CN Đắk Lắk – Đắk Nông",2.474.146.040,7.375.455.322,2474146040.0,7375455322.0
Tổng Công ty Vật liệu Xây Dụng số 1 – Công ty Cổ Phần,Tổng Công ty Vật liệu Xây Dụng số 1 – Công ty Cổ Phần,Tổng Công ty Vật liệu Xây Dụng số 1 – Công ty Cổ Phần,2.603.341.148,-,2603341148.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,130.270.187.188,137.868.155.322,130270187188.0,137868155322.0
