row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Quỹ khác thuộc vốn chủ sở hữu,Lỗ lũy kế,Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Lỗ lũy kế,numeric__Tổng cộng
Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,,,,,,,
Số đầu năm,Năm trước: > Số đầu năm,Số đầu năm,2.146.078.400.000,63.607.862.467,(552.965.000),17.170.909.622,8.963.110,(1.406.881.398.340),819.431.771.859,2146078400000.0,63607862467.0,-552965000.0,17170909622.0,8963110.0,-1406881398340.0,819431771859.0
Lợi nhuận thuần trong năm,Năm trước: > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,(715.161.995.152),(715.161.995.152),,,,,,-715161995152.0,-715161995152.0
Số cuối năm,Năm trước: > Số cuối năm,Số cuối năm,2.146.078.400.000,63.607.862.467,(552.965.000),17.170.909.622,8.963.110,(2.122.043.393.492),104.269.776.707,2146078400000.0,63607862467.0,-552965000.0,17170909622.0,8963110.0,-2122043393492.0,104269776707.0
Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,,,,,,,
Số đầu năm,Năm nay: > Số đầu năm,Số đầu năm,2.146.078.400.000,63.607.862.467,(552.965.000),17.170.909.622,8.963.110,(2.122.043.393.492),104.269.776.707,2146078400000.0,63607862467.0,-552965000.0,17170909622.0,8963110.0,-2122043393492.0,104269776707.0
Phát hành cổ phiếu (*),Năm nay: > Phát hành cổ phiếu (*),Phát hành cổ phiếu (*),965.904.620.000,(620.383.493.313),-,-,-,-,345.521.126.687,965904620000.0,-620383493313.0,,,,,345521126687.0
Lỗ thuần trong năm,Năm nay: > Lỗ thuần trong năm,Lỗ thuần trong năm,-,-,-,-,-,(897.031.635.576),(897.031.635.576),,,,,,-897031635576.0,-897031635576.0
Số cuối năm,Năm nay: > Số cuối năm,Số cuối năm,3.111.983.020.000,(556.775.630.846),(552.965.000),17.170.909.622,8.963.110,(3.019.075.029.068),(447.240.732.182),3111983020000.0,-556775630846.0,-552965000.0,17170909622.0,8963110.0,-3019075029068.0,-447240732182.0
