row_label_raw,row_label_full,Chi tiết khoản vay dài hạn từ cá nhân được trình bày như sau:,Chi tiết khoản vay dài hạn từ cá nhân được trình bày như sau:_1,Chi tiết khoản vay dài hạn từ cá nhân được trình bày như sau:_2,Chi tiết khoản vay dài hạn từ cá nhân được trình bày như sau:_3,Chi tiết khoản vay dài hạn từ cá nhân được trình bày như sau:_4,numeric__Chi tiết khoản vay dài hạn từ cá nhân được trình bày như sau:_1,numeric__Chi tiết khoản vay dài hạn từ cá nhân được trình bày như sau:_2,numeric__Chi tiết khoản vay dài hạn từ cá nhân được trình bày như sau:_3,numeric__Chi tiết khoản vay dài hạn từ cá nhân được trình bày như sau:_4
Bên cho vay,Bên cho vay,Bên cho vay,Số cuối nămVND,Kỳ hạn trả gốc và lãi,Lãi suất%/năm,Hình thức đảm bảo,,,,
Ông Bùi Hồng Minh,Ông Bùi Hồng Minh,Ông Bùi Hồng Minh,Ông Bùi Hồng Minh,Ông Bùi Hồng Minh,Ông Bùi Hồng Minh,Ông Bùi Hồng Minh,,,,
Hợp đồng số 01/2016/HDV/TTF-BHMngày 22 tháng 12 năm 2016 và các phụlục điều chỉnh sau đó,Ông Bùi Hồng Minh > Hợp đồng số 01/2016/HDV/TTF-BHMngày 22 tháng 12 năm 2016 và các phụlục điều chỉnh sau đó,Hợp đồng số 01/2016/HDV/TTF-BHMngày 22 tháng 12 năm 2016 và các phụlục điều chỉnh sau đó,362.853.767.131,Ngày 31 tháng 12năm 2022,"Lãi suất tiền gửi tiết kiệm cánhân kỳ hạn 12 tháng trả saucủa Vietcombank (2019: 6,5%)",Tín chấp,362853767131.0,,,
