row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Mối quan hệ,numeric__Nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,,,,
Công ty Cổ phần Bao bì Trường Thành,Phải trả người bán ngắn hạn > Công ty Cổ phần Bao bì Trường Thành,Công ty Cổ phần Bao bì Trường Thành,Công ty liên kết,Mua hàng,1.730.935.076,1.730.935.076,,,1730935076.0,1730935076.0
Công ty Cổ phần Đồng Tâm Dotalia,Phải trả người bán ngắn hạn > Công ty Cổ phần Đồng Tâm Dotalia,Công ty Cổ phần Đồng Tâm Dotalia,Công ty cùng Tập đoàn với cổ đông lớn(từ ngày 20 tháng 5 năm 2019),Mua hàng,400.239.400,-,,,400239400.0,
Công ty TNHH MTV Sản xuất Vật liệu Xây dựng Đồng Tâm,Phải trả người bán ngắn hạn > Công ty TNHH MTV Sản xuất Vật liệu Xây dựng Đồng Tâm,Công ty TNHH MTV Sản xuất Vật liệu Xây dựng Đồng Tâm,Công ty cùng Tập đoàn với cổ đông lớn(từ ngày 20 tháng 5 năm 2019),Mua hàng,300.005.379,-,,,300005379.0,
Công ty Cổ phần Đồng Tâm,Phải trả người bán ngắn hạn > Công ty Cổ phần Đồng Tâm,Công ty Cổ phần Đồng Tâm,Công ty mẹ của cổ đông lớn(từ ngày 20 tháng 5 năm 2019),Mua hàng,88.000.000,-,,,88000000.0,
Công ty TNHH Sản xuất Xây dựng Thương Mại Đồng Tâm,Phải trả người bán ngắn hạn > Công ty TNHH Sản xuất Xây dựng Thương Mại Đồng Tâm,Công ty TNHH Sản xuất Xây dựng Thương Mại Đồng Tâm,Công ty cùng Tập đoàn với cổ đông lớn(từ ngày 20 tháng 5 năm 2019),Mua hàng,85.217.000,-,,,85217000.0,
Công ty TNHH Trồng rừng Trường Thành OJI,Phải trả người bán ngắn hạn > Công ty TNHH Trồng rừng Trường Thành OJI,Công ty TNHH Trồng rừng Trường Thành OJI,Công ty liên doanh,Mua hàng,-,6.680.046.840,,,,6680046840.0
Công ty TNHH Địa ốc Hưng Lợi,Phải trả người bán ngắn hạn > Công ty TNHH Địa ốc Hưng Lợi,Công ty TNHH Địa ốc Hưng Lợi,Công ty có chung thành viên quản lý chủ chốt(dến ngày 7 tháng 7 năm 2019),Mua hàng,-,21.673.875,,,,21673875.0
,,,,,2.604.396.855,8.432.655.791,,,2604396855.0,8432655791.0
Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,,,,
"OJI Paper Co., Ltd.","Chi phí phải trả ngắn hạn > OJI Paper Co., Ltd.","OJI Paper Co., Ltd.",Công ty cùng liên doanh vào OJI,Bồi thường,46.460.000.000,-,,,46460000000.0,
