row_label_raw,row_label_full,Chỉ tiêu,VNDGiá trị hợp lý được xác định tại ngày mua,numeric__VNDGiá trị hợp lý được xác định tại ngày mua
Tài sản,Tài sản,Tài sản,217.450.889.474,217450889474.0
Tiền,Tiền,Tiền,2.389.645.921,2389645921.0
Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,18.125.115.700,18125115700.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,31.147.882.537,31147882537.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,9.410.717.616,9410717616.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,60.884.489.879,60884489879.0
Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,87.976.003.057,87976003057.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,7.517.034.764,7517034764.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,82.797.803.206,82797803206.0
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,24.274.591.082,24274591082.0
Các khoản phải trả khác,Các khoản phải trả khác,Các khoản phải trả khác,53.667.567.410,53667567410.0
Vay,Vay,Vay,4.855.644.714,4855644714.0
Tổng tài sản thuần theo giá trị hợp lý,Tổng tài sản thuần theo giá trị hợp lý,Tổng tài sản thuần theo giá trị hợp lý,134.653.086.268,134653086268.0
Lợi thế thương mại (Thuyết minh số 18),Lợi thế thương mại (Thuyết minh số 18),Lợi thế thương mại (Thuyết minh số 18),211.140.767.692,211140767692.0
Tổng giá phí hợp nhất kinh doanh,Tổng giá phí hợp nhất kinh doanh,Tổng giá phí hợp nhất kinh doanh,345.793.853.960,345793853960.0
