row_label_raw,row_label_full,col_0,Số đầu năm,Tăng trong năm,Tăng do mua công ty con,Giảm trong năm,VND Số cuối năm,numeric__Số đầu năm,numeric__Tăng trong năm,numeric__Tăng do mua công ty con,numeric__Giảm trong năm,numeric__VND Số cuối năm
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,,
Thuế giá trị gia tăng,Phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,7.662.375.998,68.615.083.138,-,(50.073.440.708),26.204.018.428,7662375998.0,68615083138.0,,-50073440708.0,26204018428.0
Khác,Phải thu > Khác,Khác,3.340.662.202,154.747.689,-,(100.126.514),3.395.283.377,3340662202.0,154747689.0,,-100126514.0,3395283377.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,11.003.038.200,68.769.830.827,-,(50.173.567.222),29.599.301.805,11003038200.0,68769830827.0,,-50173567222.0,29599301805.0
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,,
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,7.951.411.344,1.790.859.017,32.318.616,(318.645.284),9.455.943.693,7951411344.0,1790859017.0,32318616.0,-318645284.0,9455943693.0
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,12.986.168.314,80.504.922.490,643.408.268,(81.523.262.234),12.611.236.838,12986168314.0,80504922490.0,643408268.0,-81523262234.0,12611236838.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,4.046.281.495,14.931.060.482,73.983.930,(14.989.662.576),4.061.663.331,4046281495.0,14931060482.0,73983930.0,-14989662576.0,4061663331.0
Khác,Phải nộp > Khác,Khác,707.870.006,8.769.449.021,1.216.800,(1.500.707.380),7.977.828.447,707870006.0,8769449021.0,1216800.0,-1500707380.0,7977828447.0
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,25.691.731.159,105.996.291.010,750.927.614,(98.332.277.474),34.106.672.309,25691731159.0,105996291010.0,750927614.0,-98332277474.0,34106672309.0
