row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Máy móc và thiết bị,Phương tiện vận tải,Thiết bị văn phòng,Tổng cộng,numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc và thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,215.839.024.781,300.433.120.782,17.875.815.586,4.178.171.813,538.326.132.962,215839024781.0,300433120782.0,17875815586.0,4178171813.0,538326132962.0
Tăng do mua công ty con,Nguyên giá: > Tăng do mua công ty con,Tăng do mua công ty con,137.987.771.272,92.591.455.683,7.472.497.767,920.374.631,238.972.099.353,137987771272.0,92591455683.0,7472497767.0,920374631.0,238972099353.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá: > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,871.418.645,-,-,-,871.418.645,871418645.0,,,,871418645.0
Mua mới,Nguyên giá: > Mua mới,Mua mới,107.032.552,9.321.702.948,-,2.626.735.454,12.055.470.954,107032552.0,9321702948.0,,2626735454.0,12055470954.0
Thanh lý,Nguyên giá: > Thanh lý,Thanh lý,-,(306.852.814),-,-,(306.852.814),,-306852814.0,,,-306852814.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,354.805.247.250,402.039.426.599,25.348.313.353,7.725.281.898,789.918.269.100,354805247250.0,402039426599.0,25348313353.0,7725281898.0,789918269100.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,88.994.720.893,198.970.846.652,15.322.786.332,3.934.098.652,307.222.452.529,88994720893.0,198970846652.0,15322786332.0,3934098652.0,307222452529.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(89.314.997.209),(150.544.387.732),(14.673.845.906),(3.159.898.078),(257.693.128.925),-89314997209.0,-150544387732.0,-14673845906.0,-3159898078.0,-257693128925.0
Tăng do mua công ty con,Giá trị khấu hao lũy kế: > Tăng do mua công ty con,Tăng do mua công ty con,(117.899.276.979),(56.005.712.876),(3.306.202.100),(876.417.519),(178.087.609.474),-117899276979.0,-56005712876.0,-3306202100.0,-876417519.0,-178087609474.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(36.100.585.014),(83.279.492.370),(1.800.597.308),(462.836.455),(121.643.511.147),-36100585014.0,-83279492370.0,-1800597308.0,-462836455.0,-121643511147.0
Thanh lý,Giá trị khấu hao lũy kế: > Thanh lý,Thanh lý,-,306.852.815,-,-,306.852.815,,306852815.0,,,306852815.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(243.314.859.202),(289.522.740.163),(19.780.645.314),(4.499.152.052),(557.117.396.731),-243314859202.0,-289522740163.0,-19780645314.0,-4499152052.0,-557117396731.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,126.524.027.572,149.888.733.050,3.201.969.680,1.018.273.735,280.633.004.037,126524027572.0,149888733050.0,3201969680.0,1018273735.0,280633004037.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,111.490.388.048,112.516.686.436,5.567.668.039,3.226.129.846,232.800.872.369,111490388048.0,112516686436.0,5567668039.0,3226129846.0,232800872369.0
