row_label_raw,row_label_full,"Đầu tư vào công ty liên doanh, liên kết(Thuyết minh số 17.1) > Đầu tư góp vốn vào đơn vị khác(Thuyết minh số 17.2)",Số cuối năm > 71.806.835.322 > 1.079.784.766,VND Số đầu năm > 92.453.305.850 > 11.546.634.766,numeric__Số cuối năm > 71.806.835.322 > 1.079.784.766,numeric__VND Số đầu năm > 92.453.305.850 > 11.546.634.766
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,72.886.620.088,103.999.940.616,72886620088.0,103999940616.0
Dự phòng đầu tư tài chính dài hạn(Thuyết minh số 17.2),Dự phòng đầu tư tài chính dài hạn(Thuyết minh số 17.2),Dự phòng đầu tư tài chính dài hạn(Thuyết minh số 17.2),-,(4.266.850.000),,-4266850000.0
GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,72.886.620.088,99.733.090.616,72886620088.0,99733090616.0
