row_label_raw,row_label_full,col_0,Chế biến gỗ,Trồng rừng,Sản xuất thiết bị vệ sinh,Loại trừ,Tổng cộng,numeric__Chế biến gỗ,numeric__Trồng rừng,numeric__Sản xuất thiết bị vệ sinh,numeric__Loại trừ,numeric__Tổng cộng
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,
Doanh thu từ bán hàng ra bên ngoài,Doanh thu > Doanh thu từ bán hàng ra bên ngoài,Doanh thu từ bán hàng ra bên ngoài,595.360.802.996,412.800.000,124.764.421.593,-,720.538.024.589,595360802996.0,412800000.0,124764421593.0,,720538024589.0
Doanh thu từ bán hàng cho các bộ phận,Doanh thu > Doanh thu từ bán hàng cho các bộ phận,Doanh thu từ bán hàng cho các bộ phận,167.402.672.575,-,-,(167.402.672.575),-,167402672575.0,,,-167402672575.0,
Tổng doanh thu,Doanh thu > Tổng doanh thu,Tổng doanh thu,762.763.475.571,412.800.000,124.764.421.593,(167.402.672.575),720.538.024.589,762763475571.0,412800000.0,124764421593.0,-167402672575.0,720538024589.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,,,
Lãi (lỗ) từ hoạt động kinh doanh của bộ phận,Kết quả > Lãi (lỗ) từ hoạt động kinh doanh của bộ phận,Lãi (lỗ) từ hoạt động kinh doanh của bộ phận,(797.236.973.808),(1.991.420.233),26.143.241.864,-,(773.085.152.177)21.334.652.393,-797236973808.0,-1991420233.0,26143241864.0,,
Doanh thu hoạt động tài chính,Kết quả > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,(116.318.485.863),,,,,-116318485863.0
Chi phí tài chính,Kết quả > Chi phí tài chính,Chi phí tài chính,,,,,20.480.264.862,,,,,20480264862.0
Thu nhập khác,Kết quả > Thu nhập khác,Thu nhập khác,,,,,(134.425.960.066),,,,,-134425960066.0
Chi phí khác,Chi phí khác,Chi phí khác,,,,,,,,,,
Phần lỗ trong công ty liên doanh và liên kết,Chi phí khác > Phần lỗ trong công ty liên doanh và liên kết,Phần lỗ trong công ty liên doanh và liên kết,,,,,(20.646.470.528),,,,,-20646470528.0
Chi phí thuế thu nhập doanh nghiệp,Chi phí khác > Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,,,,,(1.790.859.017),,,,,-1790859017.0
Thu nhập thuế thu nhập hoãn lại,Chi phí khác > Thu nhập thuế thu nhập hoãn lại,Thu nhập thuế thu nhập hoãn lại,,,,,1.863.555.892,,,,,1863555892.0
Lỗ sau thuế,Chi phí khác > Lỗ sau thuế,Lỗ sau thuế,,,,,(1.002.588.454.504),,,,,-1002588454504.0
Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,,,,,,,,,,
Tài sản bộ phận,Tài sản và nợ phải trả > Tài sản bộ phận,Tài sản bộ phận,,,,,2.145.643.863.272,,,,,2145643863272.0
Tổng tài sản,Tài sản và nợ phải trả > Tổng tài sản,Tổng tài sản,,,,,2.145.643.863.272,,,,,2145643863272.0
Nợ phải trả bộ phận,Tài sản và nợ phải trả > Nợ phải trả bộ phận,Nợ phải trả bộ phận,,,,,2.777.473.104.325,,,,,2777473104325.0
Tổng nợ phải trả,Tài sản và nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,,,,,2.777.473.104.325,,,,,2777473104325.0
