row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Mối quan hệ,numeric__Nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,,,,
Công ty TNHH MTV Thương mại Đồng Tâm,Phải thu ngắn hạn của khách hàng > Công ty TNHH MTV Thương mại Đồng Tâm,Công ty TNHH MTV Thương mại Đồng Tâm,Cổ đông lớn(từ ngày 20 tháng 5 năm 2019),Bán hàng,49.626.219.094,-,,,49626219094.0,
Công ty Cổ phần Đồng Tâm Miền Bắc,Phải thu ngắn hạn của khách hàng > Công ty Cổ phần Đồng Tâm Miền Bắc,Công ty Cổ phần Đồng Tâm Miền Bắc,Công ty có chung công ty mẹ vớicổ đông lớn(từ ngày 20 tháng 5 năm 2019),Bán hàng,850.000.000,-,,,850000000.0,
Công ty Cổ phần Địa ốc Hưng Lợi,Phải thu ngắn hạn của khách hàng > Công ty Cổ phần Địa ốc Hưng Lợi,Công ty Cổ phần Địa ốc Hưng Lợi,Công ty có chungthành viên quản lý chủ chốt(dến ngày 7 tháng 7 năm 2019),Cung cấp dịch vụ,-,21.673.875,,,,21673875.0
Công ty TNHH Trồng rừng Trường Thành OJI,Phải thu ngắn hạn của khách hàng > Công ty TNHH Trồng rừng Trường Thành OJI,Công ty TNHH Trồng rừng Trường Thành OJI,Công ty liên doanh,Thuê văn phòng,-,16.500.000,,,,16500000.0
,,,,,50.476.219.094,38.173.875,,,50476219094.0,38173875.0
Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,,,,
Công ty TNHH Trồng rừng Trường Thành OJI,Phải thu về cho vay > Công ty TNHH Trồng rừng Trường Thành OJI,Công ty TNHH Trồng rừng Trường Thành OJI,Công ty liên doanh,Cho vay,38.057.548.000,38.312.802.000,,,38057548000.0,38312802000.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,,,,
Công ty TNHH Trồng rừng Trường Thành OJI,Phải thu ngắn hạn khác > Công ty TNHH Trồng rừng Trường Thành OJI,Công ty TNHH Trồng rừng Trường Thành OJI,Công ty liên doanh,Lãi cho vay,756.855.551,770.737.668,,,756855551.0,770737668.0
Công ty TNHH Trồng rừng Trường Thành OJI,Phải thu ngắn hạn khác > Công ty TNHH Trồng rừng Trường Thành OJI,Công ty TNHH Trồng rừng Trường Thành OJI,Công ty liên doanh,Chi hộ,-,6.094.034.944,,,,6094034944.0
Ông Mai Hữu Tín,Phải thu ngắn hạn khác > Ông Mai Hữu Tín,Ông Mai Hữu Tín,Chủ tịch HĐQT,Chi hộ,254.749.991,227.380.995,,,254749991.0,227380995.0
Công ty Cổ phần Bao bì Trường Thành,Phải thu ngắn hạn khác > Công ty Cổ phần Bao bì Trường Thành,Công ty Cổ phần Bao bì Trường Thành,Công ty liên kết,Chi hộ,59.803.700,54.303.700,,,59803700.0,54303700.0
,,,,,1.071.409.242,7.146.457.307,,,1071409242.0,7146457307.0
