row_label_raw,row_label_full,Tên công ty con,Tên công ty con_1,Địa điểm,Ngành nghề,Tỷ lệ lợi ích(%),Quyền biểu quyết(%),numeric__Tên công ty con_1,numeric__Địa điểm,numeric__Ngành nghề,numeric__Tỷ lệ lợi ích(%),numeric__Quyền biểu quyết(%)
1.,1.,1.,Công ty Cổ phần Trường Thành Xanh,Phú Yên,Trồng rừng,"99,98","99,98",,,,99.98,99.98
2.,2.,2.,Công ty Cổ phần Lâm Nghiệp Trường Thành,Đắk Lắk,Trồng rừng,"99,97","99,97",,,,99.97,99.97
3.,3.,3.,Công ty Cổ phần Chế biến Gỗ Trường Thành,Đắk Lắk,Sản xuất đồ gỗ,"70,00","70,00",,,,70.0,70.0
4.,4.,4.,Công ty Cổ phần Trường Thành,Đắk Lắk,Sản xuất đồ gỗ,"70,00","70,00",,,,70.0,70.0
5.,5.,5.,Công ty Cổ phần Trồng rừng Trường Thành,Đắk Lắk,Trồng rừng,"46,07","79,89",,,,46.07,79.89
6.,6.,6.,Công ty Cổ phần Chế biến Gỗ Trường Thành M'Drắk,Đắk Lắk,Sản xuất đồ gỗ,"90,25","90,25",,,,90.25,90.25
7.,7.,7.,Công ty Cổ phần Nông Lâm Công nghiệp Trường An,Đắk Lắk,Trồng rừng,"85,34","85,37",,,,85.34,85.37
8.,8.,8.,Công ty Cổ phần Vật liệu Xây dựng Trường Thành – Phước An,Đắk Lắk,Sản xuất vật liệu xây dựng,"36,08","51,55",,,,36.08,51.55
9.,9.,9.,Công ty Cổ phần Quản lý Cụm Công nghiệp Trường Thành – Ea H'leo,Đắk Lắk,Khu công nghiệp,"100,00","100,00",,,,100.0,100.0
10.,10.,10.,Công ty TNHH Một Thành viên Sử Thiên Thanh,Bình Dương,Sản xuất đồ sứ,"100,00","100,00",,,,100.0,100.0
11.,11.,11.,Công ty Cổ phần Đồ Gỗ Casadora,Bình Dương,Sản xuất đồ gỗ,"60,00","60,00",,,,60.0,60.0
