row_label_raw,row_label_full,col_0,VND Số tiền,numeric__VND Số tiền
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,
Số đầu năm,Số đầu năm,Số đầu năm,-,
Tăng do mua công ty con (Thuyết minh số 4),Số đầu năm > Tăng do mua công ty con (Thuyết minh số 4),Tăng do mua công ty con (Thuyết minh số 4),211.140.767.692,211140767692.0
Số cuối năm,Số đầu năm > Số cuối năm,Số cuối năm,211.140.767.692,211140767692.0
Giá trị phân bổ lũy kế:,Giá trị phân bổ lũy kế:,Giá trị phân bổ lũy kế:,Giá trị phân bổ lũy kế:,
Số đầu năm,Số đầu năm,Số đầu năm,-,
Phân bổ trong năm,Số đầu năm > Phân bổ trong năm,Phân bổ trong năm,(12.316.544.780),-12316544780.0
Số cuối năm,Số đầu năm > Số cuối năm,Số cuối năm,(12.316.544.780),-12316544780.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,
Số đầu năm,Số đầu năm,Số đầu năm,-,
Số cuối năm,Số đầu năm > Số cuối năm,Số cuối năm,198.824.222.912,198824222912.0
