row_label_raw,row_label_full,Ngân hàng,Số cuối năm VND,Kỳ hạn trả gốc và lãi,Lãi suất%/năm,Hình thức đảm bảo,numeric__Số cuối năm VND,numeric__Kỳ hạn trả gốc và lãi,numeric__Lãi suất%/năm,numeric__Hình thức đảm bảo
"Đông Á, CN Bình Dương","Đông Á, CN Bình Dương","Đông Á, CN Bình Dương","Đông Á, CN Bình Dương","Đông Á, CN Bình Dương","Đông Á, CN Bình Dương","Đông Á, CN Bình Dương",,,,
Hợp đồng số H0367/1N ngày 25 tháng 6 năm 2015,"Đông Á, CN Bình Dương > Hợp đồng số H0367/1N ngày 25 tháng 6 năm 2015",Hợp đồng số H0367/1N ngày 25 tháng 6 năm 2015,123.292.700.000,Từ ngày 27 tháng 7 năm 2016đến ngày 23 tháng 9 năm 2016,"8,5",\( 12.859 \text{ m}^{3} \text{ gỗ nguyên liệu các loại và thành phẩm của Nhóm Công ty} \),123292700000.0,,8.5,
"Agribank, CN BMT","Agribank, CN BMT","Agribank, CN BMT","Agribank, CN BMT","Agribank, CN BMT","Agribank, CN BMT","Agribank, CN BMT",,,,
Hợp đồng số LAV201101190 ngày 20 tháng 12 năm 2011,"Agribank, CN BMT > Hợp đồng số LAV201101190 ngày 20 tháng 12 năm 2011",Hợp đồng số LAV201101190 ngày 20 tháng 12 năm 2011,1.900.000.000,Từ ngày 17 tháng 7 năm 2016đến ngày 31 tháng 12 năm 2016,"10,5","Gỗ nguyên liệu các loại của Công ty Cổ phần Trường Thành, công ty con của Nhóm Công ty",1900000000.0,,10.5,
"VDB, CN Đắk Lắk – Đắk Nông","VDB, CN Đắk Lắk – Đắk Nông","VDB, CN Đắk Lắk – Đắk Nông","VDB, CN Đắk Lắk – Đắk Nông","VDB, CN Đắk Lắk – Đắk Nông","VDB, CN Đắk Lắk – Đắk Nông","VDB, CN Đắk Lắk – Đắk Nông",,,,
Hợp đồng số 102/2010/HĐTDXK-NHPTPC ngày 28 tháng 12 năm 2010,"VDB, CN Đắk Lắk – Đắk Nông > Hợp đồng số 102/2010/HĐTDXK-NHPTPC ngày 28 tháng 12 năm 2010",Hợp đồng số 102/2010/HĐTDXK-NHPTPC ngày 28 tháng 12 năm 2010,1.664.680.000,Từ ngày 2 tháng 11 năm 2011đến ngày 25 tháng 11 năm 2011,11,"Hàng tồn kho, máy móc và thiết bị của Công ty Cổ phần Chế biến Gỗ Trường Thành, công ty con của Nhóm Công ty",1664680000.0,,11.0,
Hợp đồng số 12/2011/HĐTDXK-NHPT-ĐL-ĐN ngày 24 tháng 8 năm 2011,"VDB, CN Đắk Lắk – Đắk Nông > Hợp đồng số 12/2011/HĐTDXK-NHPT-ĐL-ĐN ngày 24 tháng 8 năm 2011",Hợp đồng số 12/2011/HĐTDXK-NHPT-ĐL-ĐN ngày 24 tháng 8 năm 2011,809.466.040,Ngày 27 tháng 3 năm 2012,11,"Hàng tồn kho, máy móc và thiết bị của Công ty Cổ phần Chế biến Gỗ Trường Thành, công ty con của Nhóm Công ty",809466040.0,,11.0,
TỔNG CỘNG,"VDB, CN Đắk Lắk – Đắk Nông > TỔNG CỘNG",TỔNG CỘNG,127.666.846.040,,,,127666846040.0,,,
