row_label_raw,row_label_full,col_0,Máy móc thiết bị,Cộng,numeric__Máy móc thiết bị,numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,559.228.847.530,559.228.847.530,559228847530.0,559228847530.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,7.626.164.996,7.626.164.996,7626164996.0,7626164996.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,-,-,,
Số cuối năm,Giảm trong năm > Số cuối năm,Số cuối năm,566.855.012.526,566.855.012.526,566855012526.0,566855012526.0
Khẩu hao,Khẩu hao,Khẩu hao,Khẩu hao,Khẩu hao,,
Số đầu năm,Khẩu hao > Số đầu năm,Số đầu năm,232.852.724.908,232.852.724.908,232852724908.0,232852724908.0
Khẩu hao trong năm,Khẩu hao > Khẩu hao trong năm,Khẩu hao trong năm,83.633.229.296,83.633.229.296,83633229296.0,83633229296.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,-,-,,
Số cuối năm,Giảm trong năm > Số cuối năm,Số cuối năm,316.485.954.204,316.485.954.204,316485954204.0,316485954204.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,326.376.122.622,326.376.122.622,326376122622.0,326376122622.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,250.369.058.322,250.369.058.322,250369058322.0,250369058322.0
