row_label_raw,row_label_full,CHỈ TIỀU,CHỈ TIỀU_1,Mã số,Thuyết minh,Năm 2017 VND,Năm 2016 VND,numeric__CHỈ TIỀU_1,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2017 VND,numeric__Năm 2016 VND
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,26,7.672.762.678.391,7.008.333.702.536,,1.0,26.0,7672762678391.0,7008333702536.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,27,39.874.759.451,36.229.448.622,,2.0,27.0,39874759451.0,36229448622.0
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ,10,,7.632.887.918.940,6.972.104.253.914,,10.0,,7632887918940.0,6972104253914.0
4.,4.,4.,Giá vốn hàng bán,11,28,5.636.856.810.767,4.696.861.298.129,,11.0,28.0,5636856810767.0,4696861298129.0
5.,5.,5.,Lợi nhuận gộp bán hàng và cung cấp dịch vụ,20,,1.996.031.108.173,2.275.242.955.785,,20.0,,1996031108173.0,2275242955785.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,29,37.649.239.466,72.794.068.650,,21.0,29.0,37649239466.0,72794068650.0
7.,7.,7.,Chi phí tài chính,22,30,78.015.189.109,77.040.744.288,,22.0,30.0,78015189109.0,77040744288.0
,,,Trong đó: Chi phí lãi vay,23,,76.532.882.170,69.616.614.945,,23.0,,76532882170.0,69616614945.0
8.,8.,8.,"Phần lãi hoặc lỗ trong công ty liên doanh, liên kết",24,,,,,24.0,,,
9.,9.,9.,Chi phí bán hàng,25,31.a,697.051.294.118,714.777.465.910,,25.0,,697051294118.0,714777465910.0
10.,10.,10.,Chi phí quản lý doanh nghiệp,26,31.b,146.022.111.232,44.089.371.433,,26.0,,146022111232.0,44089371433.0
11.,11.,11.,Lợi nhuận thuần từ hoạt động kinh doanh,30,,1.112.591.753.180,1.512.129.442.804,,30.0,,1112591753180.0,1512129442804.0
12.,12.,12.,Thu nhập khác,31,32,28.057.819.110,33.216.796.347,,31.0,32.0,28057819110.0,33216796347.0
13.,13.,13.,Chi phí khác,32,33,2.311.933.712,2.573.482.675,,32.0,33.0,2311933712.0,2573482675.0
14.,14.,14.,Lợi nhuận khác,40,,25.745.885.398,30.643.313.672,,40.0,,25745885398.0,30643313672.0
15.,15.,15.,Tổng lợi nhuận kế toán trước thuế,50,,1.138.337.638.578,1.542.772.756.476,,50.0,,1138337638578.0,1542772756476.0
16.,16.,16.,Chi phí thuế TNDN hiện hành,51,34,111.583.257.016,132.996.929.570,,51.0,34.0,111583257016.0,132996929570.0
17.,17.,17.,Chi phí thuế TNDN hoãn lại,52,,(44.331.160),(100.594.210),,52.0,,-44331160.0,-100594210.0
18.,18.,18.,Lợi nhuận sau thuế TNDN,60,,1.026.798.712.722,1.409.876.421.116,,60.0,,1026798712722.0,1409876421116.0
19.,19.,19.,Lợi nhuận sau thuế của công ty mẹ,61,,1.026.798.712.722,1.409.876.421.116,,61.0,,1026798712722.0,1409876421116.0
20.,20.,20.,Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,,,,62.0,,,
21.,21.,21.,Lãi cơ bản trên cổ phiếu,70,35,4.985,6.874,,70.0,35.0,4985.0,6874.0
22.,22.,22.,Lãi suy giảm trên cổ phiếu,71,35,4.985,6.874,,71.0,35.0,4985.0,6874.0
