row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,Cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,986.388.000,1.752.650.125,2.739.038.125,986388000.0,1752650125.0,2739038125.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,7.155.825.092,7.155.825.092,,7155825092.0,7155825092.0
Giảm khác,Giảm khác,Giảm khác,-,-,-,,,
Số cuối năm,Giảm khác > Số cuối năm,Số cuối năm,986.388.000,8.908.475.217,9.894.863.217,986388000.0,8908475217.0,9894863217.0
Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,,,
Số đầu năm,Khấu hao > Số đầu năm,Số đầu năm,519.832.800,1.743.297.023,2.263.129.823,519832800.0,1743297023.0,2263129823.0
Khấu hao trong năm,Khấu hao > Khấu hao trong năm,Khấu hao trong năm,57.759.200,179.263.104,237.022.304,57759200.0,179263104.0,237022304.0
Giảm khác,Giảm khác,Giảm khác,-,-,-,,,
Số cuối năm,Giảm khác > Số cuối năm,Số cuối năm,577.592.000,1.922.560.127,2.500.152.127,577592000.0,1922560127.0,2500152127.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,466.555.200,9.353.102,475.908.302,466555200.0,9353102.0,475908302.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,408.796.000,6.985.915.090,7.394.711.090,408796000.0,6985915090.0,7394711090.0
