row_label_raw,row_label_full,31/12/2017,Không quá 1 năm,Trên 1 năm,Tổng,numeric__Không quá 1 năm,numeric__Trên 1 năm,numeric__Tổng
Phải trả người bán,Phải trả người bán,Phải trả người bán,539.666.220.767,-,539.666.220.767,539666220767.0,,539666220767.0
Chi phí phải trả,Chi phí phải trả,Chi phí phải trả,1.497.281.684,-,1.497.281.684,1497281684.0,,1497281684.0
Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,1.404.083.049.153,145.171.459.706,1.549.254.508.859,1404083049153.0,145171459706.0,1549254508859.0
Phải trả khác,Phải trả khác,Phải trả khác,116.058.513.534,18.090.177.914,134.148.691.448,116058513534.0,18090177914.0,134148691448.0
Cộng,Cộng,Cộng,2.061.305.065.138,163.261.637.620,2.224.566.702.758,2061305065138.0,163261637620.0,2224566702758.0
01/01/2017,01/01/2017,01/01/2017,Không quá 1 năm,Trên 1 năm,Tổng,,,
Phải trả người bán,01/01/2017 > Phải trả người bán,Phải trả người bán,475.096.509.480,-,475.096.509.480,475096509480.0,,475096509480.0
Chi phí phải trả,01/01/2017 > Chi phí phải trả,Chi phí phải trả,1.442.907.348,-,1.442.907.348,1442907348.0,,1442907348.0
Vay và nợ thuê tài chính,01/01/2017 > Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,1.178.137.352.767,213.444.295.806,1.391.581.648.573,1178137352767.0,213444295806.0,1391581648573.0
Phải trả khác,01/01/2017 > Phải trả khác,Phải trả khác,13.652.342.339,16.774.957.534,30.427.299.873,13652342339.0,16774957534.0,30427299873.0
Cộng,01/01/2017 > Cộng,Cộng,1.668.329.111.934,230.219.253.340,1.898.548.365.274,1668329111934.0,230219253340.0,1898548365274.0
