row_label_raw,row_label_full,31/12/17,Tài sản của bộ phận > Nguyên giáTSCĐ HH,Tài sản của bộ phận > Hao mòn lũy kế,Tài sản của bộ phận > Nợ phải thu,Tài sản của bộ phận > Tổng tài sản,Tài sản của bộ phận > Nợ phải trả,Khấu hao TSCĐNăm 2017,numeric__Tài sản của bộ phận > Nguyên giáTSCĐ HH,numeric__Tài sản của bộ phận > Hao mòn lũy kế,numeric__Tài sản của bộ phận > Nợ phải thu,numeric__Tài sản của bộ phận > Tổng tài sản,numeric__Tài sản của bộ phận > Nợ phải trả,numeric__Khấu hao TSCĐNăm 2017
Hoạt động SXKD sản phẩm Đường,Hoạt động SXKD sản phẩm Đường,Hoạt động SXKD sản phẩm Đường,2.941.366.421.984,(1.249.877.545.753),231.050.668.220,2.075.179.578.851,27.098.814.736,159.790.125.605,2941366421984.0,-1249877545753.0,231050668220.0,2075179578851.0,27098814736.0,159790125605.0
Hoạt động SXKD sản phẩm Sữa đậu nành,Hoạt động SXKD sản phẩm Sữa đậu nành,Hoạt động SXKD sản phẩm Sữa đậu nành,1.269.019.466.481,(792.851.314.030),19.673.938.436,1.108.745.827.696,431.026.803.777,198.000.000.000,1269019466481.0,-792851314030.0,19673938436.0,1108745827696.0,431026803777.0,198000000000.0
Công ty TNHH MTV Thương mại Thành Phát,Công ty TNHH MTV Thương mại Thành Phát,Công ty TNHH MTV Thương mại Thành Phát,3.075.855.449,(3.075.855.449),20.195.018.426,857.412.273.659,768.295.904.421,4.208.457,3075855449.0,-3075855449.0,20195018426.0,857412273659.0,768295904421.0,4208457.0
Họat động SXKD khác,Họat động SXKD khác,Họat động SXKD khác,1.186.663.603.816,(806.750.221.657),791.082.467.179,4.570.929.940.836,2.062.976.286.250,51.392.964.337,1186663603816.0,-806750221657.0,791082467179.0,4570929940836.0,2062976286250.0,51392964337.0
,,,5.400.125.347.730,(2.852.554.936.889),1.062.002.092.261,8.612.267.621.042,3.289.397.809.184,409.187.298.399,5400125347730.0,-2852554936889.0,1062002092261.0,8612267621042.0,3289397809184.0,409187298399.0
Các khoản loại trừ,Các khoản loại trừ,Các khoản loại trừ,-,-,(772.184.214.624),(1.613.225.952.877),(772.184.214.624),-,,,-772184214624.0,-1613225952877.0,-772184214624.0,
Tổng cộng,Tổng cộng,Tổng cộng,5.400.125.347.730,(2.852.554.936.889),289.817.877.637,6.999.041.668.165,2.517.213.594.560,409.187.298.399,5400125347730.0,-2852554936889.0,289817877637.0,6999041668165.0,2517213594560.0,409187298399.0
,,,Tài sản của bộ phận,Tài sản của bộ phận,Tài sản của bộ phận,Tài sản của bộ phận,Tài sản của bộ phận,Khấu hao TSCĐNăm 2016,,,,,,
01/01/17,01/01/17,01/01/17,Nguyên giáTSCĐ HH,Hao mòn lũy kế,Nợ phải thu,Tổng tài sản,Nợ phải trả,Khấu hao TSCĐNăm 2016,,,,,,
,,,VND,VND,VND,VND,VND,VND,,,,,,
Hoạt động SXKD sản phẩm Đường,01/01/17 > Hoạt động SXKD sản phẩm Đường,Hoạt động SXKD sản phẩm Đường,1.828.619.697.657,(1.090.885.210.682),223.490.328.971,1.156.812.768.961,28.396.348.174,112.419.252.973,1828619697657.0,-1090885210682.0,223490328971.0,1156812768961.0,28396348174.0,112419252973.0
Hoạt động SXKD sản phẩm Sữa đậu nành,01/01/17 > Hoạt động SXKD sản phẩm Sữa đậu nành,Hoạt động SXKD sản phẩm Sữa đậu nành,1.170.867.579.528,(678.903.580.717),45.011.022.295,1.326.871.556.961,504.288.703.875,163.000.000.000,1170867579528.0,-678903580717.0,45011022295.0,1326871556961.0,504288703875.0,163000000000.0
Công ty TNHH MTV Thương mại Thành Phát,01/01/17 > Công ty TNHH MTV Thương mại Thành Phát,Công ty TNHH MTV Thương mại Thành Phát,4.816.625.056,(4.570.309.370),560.819.319,838.823.355.623,795.755.866.029,264.885.695,4816625056.0,-4570309370.0,560819319.0,838823355623.0,795755866029.0,264885695.0
Họat động SXKD khác,01/01/17 > Họat động SXKD khác,Họat động SXKD khác,1.049.583.993.540,(757.292.416.633),904.768.166.682,4.420.882.966.223,1.663.262.279.057,43.224.589.157,1049583993540.0,-757292416633.0,904768166682.0,4420882966223.0,1663262279057.0,43224589157.0
,,,4.053.887.895.781,(2.531.651.517.402),1.173.830.337.267,7.743.390.647.768,2.991.703.197.135,318.908.727.825,4053887895781.0,-2531651517402.0,1173830337267.0,7743390647768.0,2991703197135.0,318908727825.0
,,,-,-,(778.529.898.385),(1.619.001.458.135),(778.529.898.385),-,,,-778529898385.0,-1619001458135.0,-778529898385.0,
Tổng cộng,01/01/17 > Tổng cộng,Tổng cộng,4.053.887.895.781,(2.531.651.517.402),395.300.438.882,6.124.389.189.633,2.213.173.298.750,318.908.727.825,4053887895781.0,-2531651517402.0,395300438882.0,6124389189633.0,2213173298750.0,318908727825.0
