row_label_raw,row_label_full,Báo cáo bộ phân theo hoạt động kinh doanh,Sản phẩm đường,Sản phẩm đường_1,Sản phẩm Sữa đậu nành,Sản phẩm Sữa đậu nành_1,Thành Phát,Thành Phát_1,Khác,Khác_1,Loại trừ,Loại trừ_1,Tổng cộng,Tổng cộng_1,numeric__Sản phẩm đường,numeric__Sản phẩm đường_1,numeric__Sản phẩm Sữa đậu nành,numeric__Sản phẩm Sữa đậu nành_1,numeric__Thành Phát,numeric__Thành Phát_1,numeric__Khác,numeric__Khác_1,numeric__Loại trừ,numeric__Loại trừ_1,numeric__Tổng cộng,numeric__Tổng cộng_1
Báo cáo bộ phân theo hoạt động kinh doanh,Báo cáo bộ phân theo hoạt động kinh doanh,Báo cáo bộ phân theo hoạt động kinh doanh,Năm 2017,Năm 2016,Năm 2017,Năm 2016,Năm 2017,Năm 2016,Năm 2017,Năm 2016,Năm 2017,Năm 2016,Năm 2017,Năm 2016,,,,,,,,,,,,
Doanh thu bộ phận,Báo cáo bộ phân theo hoạt động kinh doanh > Doanh thu bộ phận,Doanh thu bộ phận,1.867.155.971.510,1.465.715.960.504,3.885.376.251.685,3.682.753.579.299,849.583.893.801,484.280.709.020,1.548.274.994.608,1.672.867.047.361,(517.503.192.664),(333.513.042.270),7.632.887.918.940,6.972.104.253.914,1867155971510.0,1465715960504.0,3885376251685.0,3682753579299.0,849583893801.0,484280709020.0,1548274994608.0,1672867047361.0,-517503192664.0,-333513042270.0,7632887918940.0,6972104253914.0
Giá vốn bộ phận,Báo cáo bộ phân theo hoạt động kinh doanh > Giá vốn bộ phận,Giá vốn bộ phận,1.805.916.264.990,1.151.062.148.530,2.363.351.099.714,2.200.798.930.738,793.409.705.481,407.394.120.398,1.177.511.264.615,1.215.380.602.351,(503.331.524.033),(277.774.503.888),5.636.856.810.767,4.696.861.298.129,1805916264990.0,1151062148530.0,2363351099714.0,2200798930738.0,793409705481.0,407394120398.0,1177511264615.0,1215380602351.0,-503331524033.0,-277774503888.0,5636856810767.0,4696861298129.0
Lợi nhuận gộp,Báo cáo bộ phân theo hoạt động kinh doanh > Lợi nhuận gộp,Lợi nhuận gộp,61.239.706.520,314.653.811.974,1.522.025.151.971,1.481.954.648.561,56.174.188.320,76.886.588.622,370.763.729.993,457.486.445.010,(14.171.668.631),(55.738.538.382),1.996.031.108.173,2.275.242.955.785,61239706520.0,314653811974.0,1522025151971.0,1481954648561.0,56174188320.0,76886588622.0,370763729993.0,457486445010.0,-14171668631.0,-55738538382.0,1996031108173.0,2275242955785.0
Doanh thu hoạt động tài chính,Báo cáo bộ phân theo hoạt động kinh doanh > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,,,,,,37.649.239.466,72.794.068.650,,,,,,,,,,,37649239466.0,72794068650.0
Chi phí tài chính,Báo cáo bộ phân theo hoạt động kinh doanh > Chi phí tài chính,Chi phí tài chính,,,,,,,,,,,78.015.189.109,77.040.744.288,,,,,,,,,,,78015189109.0,77040744288.0
Chi phí bán hàng,Báo cáo bộ phân theo hoạt động kinh doanh > Chi phí bán hàng,Chi phí bán hàng,,,,,,,,,,,697.051.294.118,714.777.465.910,,,,,,,,,,,697051294118.0,714777465910.0
Chi phí quản lý doanh nghiệp,Báo cáo bộ phân theo hoạt động kinh doanh > Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,,,,,,,,,,146.022.111.232,44.089.371.433,,,,,,,,,,,146022111232.0,44089371433.0
Lợi nhuận thuần từ hoạt động kinh doanh,Báo cáo bộ phân theo hoạt động kinh doanh > Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,,,,,,,,,,,1.112.591.753.180,1.512.129.442.804,,,,,,,,,,,1112591753180.0,1512129442804.0
Thu nhập khác,Báo cáo bộ phân theo hoạt động kinh doanh > Thu nhập khác,Thu nhập khác,,,,,,,,,,,28.057.819.110,33.216.796.347,,,,,,,,,,,28057819110.0,33216796347.0
Chi phí khác,Báo cáo bộ phân theo hoạt động kinh doanh > Chi phí khác,Chi phí khác,,,,,,,,,,,2.311.933.712,2.573.482.675,,,,,,,,,,,2311933712.0,2573482675.0
Lợi nhuận khác,Báo cáo bộ phân theo hoạt động kinh doanh > Lợi nhuận khác,Lợi nhuận khác,,,,,,,,,,,25.745.885.398,30.643.313.672,,,,,,,,,,,25745885398.0,30643313672.0
Lợi nhuận trước thuế,Báo cáo bộ phân theo hoạt động kinh doanh > Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,,,,,,,,1.138.337.638.578,1.542.772.756.476,,,,,,,,,,,1138337638578.0,1542772756476.0
Thuế TNDN,Báo cáo bộ phân theo hoạt động kinh doanh > Thuế TNDN,Thuế TNDN,,,,,,,,,,,111.538.925.856,132.896.335.360,,,,,,,,,,,111538925856.0,132896335360.0
Lợi nhuận sau thuế TNDN,Báo cáo bộ phân theo hoạt động kinh doanh > Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,,,,,,,,,,,1.026.798.712.722,1.409.876.421.116,,,,,,,,,,,1026798712722.0,1409876421116.0
