row_label_raw,row_label_full,col_0,Số đầu kỳ,Số đầu kỳ_1,Số phát sinh trong kỳ,Số phát sinh trong kỳ_1,Số cuối kỳ,Số cuối kỳ_1,numeric__Số đầu kỳ,numeric__Số đầu kỳ_1,numeric__Số phát sinh trong kỳ,numeric__Số phát sinh trong kỳ_1,numeric__Số cuối kỳ,numeric__Số cuối kỳ_1
,,,Phải thu,Phải nộp,Phải nộp,Thực nộp,Phải thu,Phải nộp,,,,,,
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,-,3.948.244.518,246.845.363.116,242.782.651.388,-,8.010.956.246,,3948244518.0,246845363116.0,242782651388.0,,8010956246.0
Thuế giá trị gia tăng NK,Thuế giá trị gia tăng NK,Thuế giá trị gia tăng NK,-,-,9.268.585.422,9.268.585.422,-,-,,,9268585422.0,9268585422.0,,
Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,-,27.409.536.393,296.544.117.726,303.682.731.214,-,20.270.922.905,,27409536393.0,296544117726.0,303682731214.0,,20270922905.0
Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,1.907.654.352,-,5.021.076.525,3.052.232.565,-,61.189.608,1907654352.0,,5021076525.0,3052232565.0,,61189608.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,-,55.723.850.511,111.583.257.016,115.743.363.049,-,51.563.744.478,,55723850511.0,111583257016.0,115743363049.0,,51563744478.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,-,179.183.365,23.782.890.652,23.810.999.072,-,151.074.945,,179183365.0,23782890652.0,23810999072.0,,151074945.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,-,124.891.836,2.097.031.210,2.093.872.735,-,128.050.311,,124891836.0,2097031210.0,2093872735.0,,128050311.0
"Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",-,-,3.402.984.099,3.402.984.099,-,-,,,3402984099.0,3402984099.0,,
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,-,541.832.413,1.009.361.063,1.549.041.067,25.785.512,27.937.921,,541832413.0,1009361063.0,1549041067.0,25785512.0,27937921.0
Phí và lệ phí,Phí và lệ phí,Phí và lệ phí,-,9.745.498,181.311.962,181.266.212,-,9.791.248,,9745498.0,181311962.0,181266212.0,,9791248.0
Cộng,Cộng,Cộng,1.907.654.352,87.937.284.534,699.735.978.791,705.567.726.823,25.785.512,80.223.667.662,1907654352.0,87937284534.0,699735978791.0,705567726823.0,25785512.0,80223667662.0
