row_label_raw,row_label_full,Môi quan hệ,Bản chất giao dịch,Giá trị giao dịch > 2019 VND,Giá trị giao dịch > 2018 VND,Phải thu/(phải trả) tại ngày > 31/12/2019 VND,Phải thu/(phải trả) tại ngày > 1/1/2019 VND,numeric__Bản chất giao dịch,numeric__Giá trị giao dịch > 2019 VND,numeric__Giá trị giao dịch > 2018 VND,numeric__Phải thu/(phải trả) tại ngày > 31/12/2019 VND,numeric__Phải thu/(phải trả) tại ngày > 1/1/2019 VND
Công ty TNHH Một Thành viên Masan Brewery Distribution,Công ty TNHH Một Thành viên Masan Brewery Distribution,Công ty TNHH Một Thành viên Masan Brewery Distribution,Bán hàng hóa,3.192.744,3.192.913.253,-,2.527.369.828,,3192744.0,3192913253.0,,2527369828.0
Công ty TNHH Một Thành viên Masan Brewery Distribution,Công ty TNHH Một Thành viên Masan Brewery Distribution,Công ty TNHH Một Thành viên Masan Brewery Distribution,Hàng bán bị trả lại,1.194.673.977,893.440.179,-,-,,1194673977.0,893440179.0,,
Công ty TNHH Một Thành viên Masan Brewery Distribution,Công ty TNHH Một Thành viên Masan Brewery Distribution,Công ty TNHH Một Thành viên Masan Brewery Distribution,Mua hàng hóa,550.716.470,44.794.061.290,-,(20.804.520.370),,550716470.0,44794061290.0,,-20804520370.0
Công ty TNHH Một Thành viên Masan Brewery Distribution,Công ty TNHH Một Thành viên Masan Brewery Distribution,Công ty TNHH Một Thành viên Masan Brewery Distribution,Trả trước tiền hàng,146.127.485,-,146.127.485,-,,146127485.0,,146127485.0,
Công ty TNHH Một Thành viên Masan Brewery Distribution,Công ty TNHH Một Thành viên Masan Brewery Distribution,Công ty TNHH Một Thành viên Masan Brewery Distribution,Phí hỗ trợ quản lý,43.899.198.611,25.966.703.930,76.560.997.745,60.624.394.654,,43899198611.0,25966703930.0,76560997745.0,60624394654.0
Công ty TNHH Một Thành viên Masan Brewery HG,Công ty TNHH Một Thành viên Masan Brewery HG,Công ty TNHH Một Thành viên Masan Brewery HG,Bán hàng hóa,96.562.265,15.548.538,-,-,,96562265.0,15548538.0,,
Công ty TNHH Một Thành viên Masan Brewery HG,Công ty TNHH Một Thành viên Masan Brewery HG,Công ty TNHH Một Thành viên Masan Brewery HG,Mua hàng hóa,41.850.264,55.827.750,-,-,,41850264.0,55827750.0,,
Công ty TNHH Một Thành viên Masan Brewery HG,Công ty TNHH Một Thành viên Masan Brewery HG,Công ty TNHH Một Thành viên Masan Brewery HG,Trả hàng hóa đã mua,56.122.834,-,-,-,,56122834.0,,,
Công ty TNHH Một Thành viên Masan Brewery HG,Công ty TNHH Một Thành viên Masan Brewery HG,Công ty TNHH Một Thành viên Masan Brewery HG,Phí hỗ trợ quản lý,3.422.504.715,2.552.138.546,3.901.450.010,2.745.941.875,,3422504715.0,2552138546.0,3901450010.0,2745941875.0
Công ty Cổ phần Dinh dưỡng Nông nghiệp Quốc tế,Công ty Cổ phần Dinh dưỡng Nông nghiệp Quốc tế,Công ty Cổ phần Dinh dưỡng Nông nghiệp Quốc tế,Bán hàng hóa,32.324.909,52.760.545,6.587.800,-,,32324909.0,52760545.0,6587800.0,
Công ty Cổ phần Dinh dưỡng Nông nghiệp Quốc tế,Công ty Cổ phần Dinh dưỡng Nông nghiệp Quốc tế,Công ty Cổ phần Dinh dưỡng Nông nghiệp Quốc tế,Phí hỗ trợ quản lý,3.516.609.673,5.401.497.275,1.851.733.472,2.821.114.056,,3516609673.0,5401497275.0,1851733472.0,2821114056.0
Công ty TNHH MNS Feed Tiền Giang,Công ty TNHH MNS Feed Tiền Giang,Công ty TNHH MNS Feed Tiền Giang,Phí hỗ trợ quản lý,1.072.868.060,1.413.647.105,565.193.852,617.822.920,,1072868060.0,1413647105.0,565193852.0,617822920.0
Công ty TNHH MNS Feed Thái Nguyên,Công ty TNHH MNS Feed Thái Nguyên,Công ty TNHH MNS Feed Thái Nguyên,Bán hàng hóa,32.096.545,29.696.909,-,-,,32096545.0,29696909.0,,
Công ty TNHH MNS Feed Thái Nguyên,Công ty TNHH MNS Feed Thái Nguyên,Công ty TNHH MNS Feed Thái Nguyên,Phí hỗ trợ quản lý,879.568.987,1.317.783.118,463.338.369,498.242.808,,879568987.0,1317783118.0,463338369.0,498242808.0
Công ty TNHH MNS Feed Vĩnh Long,Công ty TNHH MNS Feed Vĩnh Long,Công ty TNHH MNS Feed Vĩnh Long,Phí hỗ trợ quản lý,1.121.192.828,1.510.709.543,590.657.722,637.208.299,,1121192828.0,1510709543.0,590657722.0,637208299.0
Công ty TNHH MNS Feed Hậu Giang,Công ty TNHH MNS Feed Hậu Giang,Công ty TNHH MNS Feed Hậu Giang,Phí hỗ trợ quản lý,884.076.132,1.074.951.181,465.644.364,507.005.940,,884076132.0,1074951181.0,465644364.0,507005940.0
