row_label_raw,row_label_full,Mối quan hệ,Bản chất giao dịch,Giá trị giao dịch > 2019 VND,Giá trị giao dịch > 2018 VND,Phải thu/(phải trả) tại ngày > 31/12/2019 VND,Phải thu/(phải trả) tại ngày > 1/1/2019 VND,numeric__Bản chất giao dịch,numeric__Giá trị giao dịch > 2019 VND,numeric__Giá trị giao dịch > 2018 VND,numeric__Phải thu/(phải trả) tại ngày > 31/12/2019 VND,numeric__Phải thu/(phải trả) tại ngày > 1/1/2019 VND
Công ty TNHH Một Thành viên Masan HD,Công ty TNHH Một Thành viên Masan HD,Công ty TNHH Một Thành viên Masan HD,Bán hàng hóa,31.951.294.198,33.585.469.336,-,-,,31951294198.0,33585469336.0,,
Công ty TNHH Một Thành viên Masan HD,Công ty TNHH Một Thành viên Masan HD,Công ty TNHH Một Thành viên Masan HD,Mua hàng hóa,1.024.136.441.236,941.822.705.564,(90.218.292.179),(107.369.612.484),,1024136441236.0,941822705564.0,-90218292179.0,-107369612484.0
Công ty Cổ phần Masan PQ,Công ty Cổ phần Masan PQ,Công ty Cổ phần Masan PQ,Bán hàng hóa,15.268.019,3.940.239,-,-,,15268019.0,3940239.0,,
Công ty Cổ phần Masan PQ,Công ty Cổ phần Masan PQ,Công ty Cổ phần Masan PQ,Mua hàng hóa,737.701.485,-,(401.940.380),-,,737701485.0,,-401940380.0,
Công ty TNHH Một Thành viên Nam Ngư Phú Quốc,Công ty TNHH Một Thành viên Nam Ngư Phú Quốc,Công ty TNHH Một Thành viên Nam Ngư Phú Quốc,Bán hàng hóa,2.251.844.151,1.143.730.783,-,599.031.555,,2251844151.0,1143730783.0,,599031555.0
Công ty TNHH Một Thành viên Nam Ngư Phú Quốc,Công ty TNHH Một Thành viên Nam Ngư Phú Quốc,Công ty TNHH Một Thành viên Nam Ngư Phú Quốc,Mua hàng hóa,172.685.546.819,119.477.561.384,(46.638.259.241),-,,172685546819.0,119477561384.0,-46638259241.0,
Công ty TNHH Một Thành viên Nam Ngư Phú Quốc,Công ty TNHH Một Thành viên Nam Ngư Phú Quốc,Công ty TNHH Một Thành viên Nam Ngư Phú Quốc,Trà trước tiền hàng,-,8.294.187.749,-,8.294.187.749,,,8294187749.0,,8294187749.0
Công ty TNHH Một Thành viên Masan Beverage,Công ty TNHH Một Thành viên Masan Beverage,Công ty TNHH Một Thành viên Masan Beverage,Phân phối lợi nhuận (**),634.580.160.000,-,-,-,,634580160000.0,,,
Công ty TNHH Một Thành viên Masan Beverage,Công ty TNHH Một Thành viên Masan Beverage,Công ty TNHH Một Thành viên Masan Beverage,Góp vốn,-,932.000.000.000,-,-,,,932000000000.0,,
Công ty Cổ phần VinaCafé Biên Hòa,Công ty Cổ phần VinaCafé Biên Hòa,Công ty Cổ phần VinaCafé Biên Hòa,Bán hàng hóa,109.864.662.462,74.467.360.692,-,-,,109864662462.0,74467360692.0,,
Công ty Cổ phần VinaCafé Biên Hòa,Công ty Cổ phần VinaCafé Biên Hòa,Công ty Cổ phần VinaCafé Biên Hòa,Mua hàng hóa và dịch vụ,2.835.573.409.147,2.959.106.972.554,(1.177.933.303.323),(1.070.218.150.205),,2835573409147.0,2959106972554.0,-1177933303323.0,-1070218150205.0
Công ty Cổ phần Café De Nam,Công ty Cổ phần Café De Nam,Công ty Cổ phần Café De Nam,Bán hàng hóa,2.180.245,1.948.184,-,-,,2180245.0,1948184.0,,
Công ty Cổ phần Café De Nam,Công ty Cổ phần Café De Nam,Công ty Cổ phần Café De Nam,Mua hàng hóa,7.344.011.934,4.656.146.056,(1.268.774.450),(847.937.204),,7344011934.0,4656146056.0,-1268774450.0,-847937204.0
Công ty TNHH Một Thành viên Masan MB,Công ty TNHH Một Thành viên Masan MB,Công ty TNHH Một Thành viên Masan MB,Bán hàng hóa,256.616.599.027,184.621.456.439,-,-,,256616599027.0,184621456439.0,,
Công ty TNHH Một Thành viên Masan MB,Công ty TNHH Một Thành viên Masan MB,Công ty TNHH Một Thành viên Masan MB,Mua hàng hóa,4.104.010.916.464,3.440.460.919.308,(612.049.216.638),(586.546.385.981),,4104010916464.0,3440460919308.0,-612049216638.0,-586546385981.0
Công ty TNHH Một Thành viên Masan MB,Công ty TNHH Một Thành viên Masan MB,Công ty TNHH Một Thành viên Masan MB,Cho vay,1.993.000.000.000,3.831.000.000.000,5.824.000.000.000,3.831.000.000.000,,1993000000000.0,3831000000000.0,5824000000000.0,3831000000000.0
Công ty TNHH Một Thành viên Masan MB,Công ty TNHH Một Thành viên Masan MB,Công ty TNHH Một Thành viên Masan MB,Thu nhập lãi cho vay,301.169.397.261,37.700.178.081,338.869.575.342,37.700.178.081,,301169397261.0,37700178081.0,338869575342.0,37700178081.0
