row_label_raw,row_label_full,col_0,Nâng cấptài sản thuêVND,Thiết bịvăn phòngVND,Máy móc vàthiết bịVND,Phương tiệnvận chuyểnVND,TổngVND,numeric__Nâng cấptài sản thuêVND,numeric__Thiết bịvăn phòngVND,numeric__Máy móc vàthiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,56.251.611.219,22.315.416.086,3.504.301.741,6.269.702.428,88.341.031.474,56251611219.0,22315416086.0,3504301741.0,6269702428.0,88341031474.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,848.022.727,114.030.000,-,962.052.727,,848022727.0,114030000.0,,962052727.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,-,1.746.727.369,-,-,1.746.727.369,,1746727369.0,,,1746727369.0
Xóa số,Nguyên giá > Xóa số,Xóa số,(3.584.744.625),(38.139.997),-,-,(3.622.884.622),-3584744625.0,-38139997.0,,,-3622884622.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,52.666.866.594,24.872.026.185,3.618.331.741,6.269.702.428,87.426.926.948,52666866594.0,24872026185.0,3618331741.0,6269702428.0,87426926948.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,33.848.164.908,12.750.536.637,3.179.146.234,5.663.310.303,55.441.158.082,33848164908.0,12750536637.0,3179146234.0,5663310303.0,55441158082.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,10.451.709.067,2.311.485.436,178.098.321,309.913.547,13.251.206.371,10451709067.0,2311485436.0,178098321.0,309913547.0,13251206371.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,(3.584.744.625),(38.139.997),-,-,(3.622.884.622),-3584744625.0,-38139997.0,,,-3622884622.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,40.715.129.350,15.023.882.076,3.357.244.555,5.973.223.850,65.069.479.831,40715129350.0,15023882076.0,3357244555.0,5973223850.0,65069479831.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,22.403.446.311,9.564.879.449,325.155.507,606.392.125,32.899.873.392,22403446311.0,9564879449.0,325155507.0,606392125.0,32899873392.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,11.951.737.244,9.848.144.109,261.087.186,296.478.578,22.357.447.117,11951737244.0,9848144109.0,261087186.0,296478578.0,22357447117.0
