row_label_raw,row_label_full,col_0,Số cổ phiếu,Số cổ phiếu_1,numeric__Số cổ phiếu,numeric__Số cổ phiếu_1
,,,Số cuối năm,Số đầu năm,,
Cổ phiếu được phép phát hành,Cổ phiếu được phép phát hành,Cổ phiếu được phép phát hành,443.546.178,443.496.178,443546178.0,443496178.0
Cổ phiếu đã phát hành và được góp vốn đầy đủ Cổ phiếu phổ thông,Cổ phiếu đã phát hành và được góp vốn đầy đủ Cổ phiếu phổ thông,Cổ phiếu đã phát hành và được góp vốn đầy đủ Cổ phiếu phổ thông,443.546.178,443.496.178,443546178.0,443496178.0
Cổ phiếu quỹ Cổ phiếu phổ thông,Cổ phiếu quỹ Cổ phiếu phổ thông,Cổ phiếu quỹ Cổ phiếu phổ thông,(856.236),(369.285),-856236.0,-369285.0
Cổ phiếu đang lưu hành Cổ phiếu phổ thông,Cổ phiếu đang lưu hành Cổ phiếu phổ thông,Cổ phiếu đang lưu hành Cổ phiếu phổ thông,442.689.942,443.126.893,442689942.0,443126893.0
