row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số đầu năm,VND Số cuối năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số đầu năm,numeric__VND Số cuối năm
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,,,,
Công ty Cổ phần Thế Giới Di Động,Phải thu về cho vay ngắn hạn > Công ty Cổ phần Thế Giới Di Động,Công ty Cổ phần Thế Giới Di Động,Công ty con,Cho vay,115.700.090.000,66.600.000.000,,,115700090000.0,66600000000.0
Công ty TNHH MTV Công nghệ Thông tin Thế Giới Di Động,Phải thu về cho vay ngắn hạn > Công ty TNHH MTV Công nghệ Thông tin Thế Giới Di Động,Công ty TNHH MTV Công nghệ Thông tin Thế Giới Di Động,Công ty con,Cho vay,65.000.000.000,-,,,65000000000.0,
,,,,,180.700.090.000,66.600.000.000,,,180700090000.0,66600000000.0
Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,,,,
Công ty Cổ phần Thế Giới Di Động,Phải thu về cho vay dài hạn > Công ty Cổ phần Thế Giới Di Động,Công ty Cổ phần Thế Giới Di Động,Công ty con,Cho vay,1.126.500.000.000,1.061.720.000.000,,,1126500000000.0,1061720000000.0
Các khoản phải thu ngắn hạn khác,Các khoản phải thu ngắn hạn khác,Các khoản phải thu ngắn hạn khác,Các khoản phải thu ngắn hạn khác,Các khoản phải thu ngắn hạn khác,Các khoản phải thu ngắn hạn khác,Các khoản phải thu ngắn hạn khác,,,,
Công ty Cổ phần Thương mại Bách Hóa Xanh,Công ty Cổ phần Thương mại Bách Hóa Xanh,Công ty Cổ phần Thương mại Bách Hóa Xanh,Công ty con,Tạm ứng Chi hộ,915.000.000.000 18.185.000,- -,,,,
Công ty Cổ phần Thế Giới Di Động,Công ty Cổ phần Thế Giới Di Động,Công ty Cổ phần Thế Giới Di Động,Công ty con,Lãi cho vay Chi hộ,1.521.435.629 662.968.650,12.996.550.724 2.770.414.000,,,,
Công ty TNHH MTV Công nghệ Thông tin Thế Giới Di Động,Công ty TNHH MTV Công nghệ Thông tin Thế Giới Di Động,Công ty TNHH MTV Công nghệ Thông tin Thế Giới Di Động,Công ty con,Lãi cho vay Chi hộ,425.647.741 4.955.000,- -,,,,
,,,,,917.633.192.020,15.766.964.724,,,917633192020.0,15766964724.0
