row_label_raw,row_label_full,Phải thu bên liên quan(Thuyết minh số 15),Số cuối năm > 917.633.192.020,VND Số đầu năm > 15.766.964.724,numeric__Số cuối năm > 917.633.192.020,numeric__VND Số đầu năm > 15.766.964.724
"Ký quỹ, ký cược","Ký quỹ, ký cược","Ký quỹ, ký cược",-,4.003.604.375,,4003604375.0
Khác,Khác,Khác,182.515.054,2.822.860.442,182515054.0,2822860442.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,917.815.707.074,22.593.429.541,917815707074.0,22593429541.0
