row_label_raw,row_label_full,col_0,Vốn cổ phần,Thăng dư vốn cổ phần,Cổ phiếu quỹ,Lợi nhuận sau thuế chưa phân phối,VND Tổng cộng,numeric__Vốn cổ phần,numeric__Thăng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__VND Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,3.169.884.370.000,628.592.500,(79.164.500),72.033.896.887,3.242.467.694.887,3169884370000.0,628592500.0,-79164500.0,72033896887.0,3242467694887.0
Phát hành cổ phiếu,Năm trước > Phát hành cổ phiếu,Phát hành cổ phiếu,189.105.950.000,514.734.297.200,-,-,703.840.247.200,189105950000.0,514734297200.0,,,703840247200.0
Mua lại cổ phiếu,Năm trước > Mua lại cổ phiếu,Mua lại cổ phiếu,-,-,(729.700.000),-,(729.700.000),,,-729700000.0,,-729700000.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,2.810.029.532.423,2.810.029.532.423,,,,2810029532423.0,2810029532423.0
Chia cổ tức bằng cổ phiếu,Năm trước > Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,1.075.971.460.000,-,-,(1.075.971.460.000),-,1075971460000.0,,,-1075971460000.0,
Cổ tức công bố,Năm trước > Cổ tức công bố,Cổ tức công bố,-,-,-,(484.310.571.750),(484.310.571.750),,,,-484310571750.0,-484310571750.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,4.434.961.780.000,515.362.889.700,(808.864.500),1.321.781.397.560,6.271.297.202.760,4434961780000.0,515362889700.0,-808864500.0,1321781397560.0,6271297202760.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,4.434.961.780.000,515.362.889.700,(808.864.500),1.321.781.397.560,6.271.297.202.760,4434961780000.0,515362889700.0,-808864500.0,1321781397560.0,6271297202760.0
Phát hành cổ phiếu (*),Năm nay > Phát hành cổ phiếu (*),Phát hành cổ phiếu (*),500.000.000,3.755.000.000,-,-,4.255.000.000,500000000.0,3755000000.0,,,4255000000.0
Mua lại cổ phiếu,Năm nay > Mua lại cổ phiếu,Mua lại cổ phiếu,-,-,(4.850.060.000),-,(4.850.060.000),,,-4850060000.0,,-4850060000.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,2.149.152.928.470,2.149.152.928.470,,,,2149152928470.0,2149152928470.0
Trích lập quỹ,Năm nay > Trích lập quỹ,Trích lập quỹ,-,-,-,(10.000.000.000),(10.000.000.000),,,,-10000000000.0,-10000000000.0
Cổ tức công bố (**),Năm nay > Cổ tức công bố (**),Cổ tức công bố (**),-,-,-,(664.179.295.500),(664.179.295.500),,,,-664179295500.0,-664179295500.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,2.149.152.928.470,2.149.152.928.470,,,,2149152928470.0,2149152928470.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,4.435.461.780.000,519.117.889.700,(5.658.924.500),2.796.755.030.530,7.745.675.775.730,4435461780000.0,519117889700.0,-5658924500.0,2796755030530.0,7745675775730.0
