row_label_raw,row_label_full,Công ty > Công ty Cổ phần Thế Giới Di Động > Công ty Cổ phần Thương mại Bách Hóa Xanh > Công ty Cổ phần Thế giới Số Trần Anh > Công ty TNHH MTV Công nghệ Thông tin Thế Giới Di Động,"Địa chỉ > Thành phố Hồ Chí Minh, Việt Nam > Thành phố Hà Nội, Việt Nam > Thành phố Hồ Chí Minh, Việt Nam",Hoạt động chính > Thương mại sản phẩm điện tử > Thương mại thực phẩm > Thương mại sản phẩm điện tử > Công nghệ thông tin,"Số cuối năm > % sở hữu > 99,95 > 99,33 > 100,00",Số cuối năm > Số tiền VND > 2.027.352.771.000 > 3.629.712.000.000 > 860.937.300.707 > 538.000.000.000,Số cuối năm > Dự phòng VND > -,"Số đầu năm > % sở hữu > 99,95 > 99,33 > 100,00",Số đầu năm > Số tiền VND > 2.027.352.771.000 > 2.629.712.000.000 > 860.937.300.707 > 538.000.000.000,Số đầu năm > Dự phòng VND > -,"numeric__Địa chỉ > Thành phố Hồ Chí Minh, Việt Nam > Thành phố Hà Nội, Việt Nam > Thành phố Hồ Chí Minh, Việt Nam",numeric__Hoạt động chính > Thương mại sản phẩm điện tử > Thương mại thực phẩm > Thương mại sản phẩm điện tử > Công nghệ thông tin,"numeric__Số cuối năm > % sở hữu > 99,95 > 99,33 > 100,00",numeric__Số cuối năm > Số tiền VND > 2.027.352.771.000 > 3.629.712.000.000 > 860.937.300.707 > 538.000.000.000,numeric__Số cuối năm > Dự phòng VND > -,"numeric__Số đầu năm > % sở hữu > 99,95 > 99,33 > 100,00",numeric__Số đầu năm > Số tiền VND > 2.027.352.771.000 > 2.629.712.000.000 > 860.937.300.707 > 538.000.000.000,numeric__Số đầu năm > Dự phòng VND > -
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,,7.056.002.071.707,-,,6.056.002.071.707,-,,,,7056002071707.0,,,6056002071707.0,
7.2 Đầu tư vào công ty liên kết,7.2 Đầu tư vào công ty liên kết,7.2 Đầu tư vào công ty liên kết,7.2 Đầu tư vào công ty liên kết,7.2 Đầu tư vào công ty liên kết,7.2 Đầu tư vào công ty liên kết,7.2 Đầu tư vào công ty liên kết,7.2 Đầu tư vào công ty liên kết,7.2 Đầu tư vào công ty liên kết,7.2 Đầu tư vào công ty liên kết,7.2 Đầu tư vào công ty liên kết,,,,,,,,
Chi tiết khoản đầu tư vào công ty liên kết như sau:,Chi tiết khoản đầu tư vào công ty liên kết như sau:,Chi tiết khoản đầu tư vào công ty liên kết như sau:,Chi tiết khoản đầu tư vào công ty liên kết như sau:,Chi tiết khoản đầu tư vào công ty liên kết như sau:,Chi tiết khoản đầu tư vào công ty liên kết như sau:,Chi tiết khoản đầu tư vào công ty liên kết như sau:,Chi tiết khoản đầu tư vào công ty liên kết như sau:,Chi tiết khoản đầu tư vào công ty liên kết như sau:,Chi tiết khoản đầu tư vào công ty liên kết như sau:,Chi tiết khoản đầu tư vào công ty liên kết như sau:,,,,,,,,
Tên công ty,Tên công ty,Tên công ty,Địa chỉ,Hoạt động chính,Số cuối năm,Số cuối năm,Số cuối năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,,,,,
Tên công ty,Tên công ty,Tên công ty,Địa chỉ,Hoạt động chính,% sở hữu,Số tiền VND,Dự phòng VND,% sở hữu,Số tiền VND,Dự phòng VND,,,,,,,,
Công ty Cổ phần Bán lẻ An Khang,Tên công ty > Công ty Cổ phần Bán lẻ An Khang,Công ty Cổ phần Bán lẻ An Khang,"Thành phố Hồ Chí Minh, Việt Nam",Bán lẻ dược phẩm,"49,00",62.038.750.000,-,"49,00",62.038.750.000,-,,,49.0,62038750000.0,,49.0,62038750000.0,
