row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Tại ngày 1 tháng 1 năm 2021,Nguyên giá > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,542.729.276.942,126.331.480.717,669.060.757.659,542729276942.0,126331480717.0,669060757659.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,22.727.350.000,-,22.727.350.000,22727350000.0,,22727350000.0
Mua từ công ty con (*),Nguyên giá > Mua từ công ty con (*),Mua từ công ty con (*),-,13.659.326.899,13.659.326.899,,13659326899.0,13659326899.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(7.672.515.570),-,(7.672.515.570),-7672515570.0,,-7672515570.0
Tại ngày 31 tháng 12 năm 2021,Nguyên giá > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,557.784.111.372,139.990.807.616,697.774.918.988,557784111372.0,139990807616.0,697774918988.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,
Tại ngày 1 tháng 1 năm 2021,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,-,32.347.199.197,32.347.199.197,,32347199197.0,32347199197.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,14.579.415.968,14.579.415.968,,14579415968.0,14579415968.0
"Thanh lý, nhượng bán","Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,-,,,
Tại ngày 31 tháng 12 năm 2021,"Thanh lý, nhượng bán > Tại ngày 31 tháng 12 năm 2021",Tại ngày 31 tháng 12 năm 2021,-,46.926.615.165,46.926.615.165,,46926615165.0,46926615165.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày 1 tháng 1 năm 2021,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,542.729.276.942,93.984.281.520,636.713.558.462,542729276942.0,93984281520.0,636713558462.0
Tại ngày 31 tháng 12 năm 2021,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,557.784.111.372,93.064.192.451,650.848.303.823,557784111372.0,93064192451.0,650848303823.0
