row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócthiết bịVND,Phương tiệnvận tàiVND,Thiết bịquản lýVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócthiết bịVND,numeric__Phương tiệnvận tàiVND,numeric__Thiết bịquản lýVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Tại ngày 1 tháng 1 năm 2021,Nguyên giá > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,157.111.229.899,47.625.634.220,30.170.753.351,93.860.673.193,328.768.290.663,157111229899.0,47625634220.0,30170753351.0,93860673193.0,328768290663.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,544.407.991,8.341.644.680,11.766.673.800,2.504.553.726,23.157.280.197,544407991.0,8341644680.0,11766673800.0,2504553726.0,23157280197.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(2.242.990.000),(1.634.539.746),(1.853.331.999),(1.302.601.113),(7.033.462.858),-2242990000.0,-1634539746.0,-1853331999.0,-1302601113.0,-7033462858.0
Tại ngày 31 tháng 12 năm 2021,Nguyên giá > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,155.412.647.890,54.332.739.154,40.084.095.152,95.062.625.806,344.892.108.002,155412647890.0,54332739154.0,40084095152.0,95062625806.0,344892108002.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,,
Tại ngày 1 tháng 1 năm 2021,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,51.407.370.173,29.958.870.004,17.340.530.412,50.095.875.388,148.802.645.977,51407370173.0,29958870004.0,17340530412.0,50095875388.0,148802645977.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,8.244.118.224,7.510.756.858,3.937.616.179,11.532.725.352,31.225.216.613,8244118224.0,7510756858.0,3937616179.0,11532725352.0,31225216613.0
"Thanh lý, nhượng bán","Khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(134.461.703),(1.602.652.893),(1.853.331.999),(1.291.934.442),(4.882.381.037),-134461703.0,-1602652893.0,-1853331999.0,-1291934442.0,-4882381037.0
Tại ngày 31 tháng 12 năm 2021,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,59.517.026.694,35.866.973.969,19.424.814.592,60.336.666.298,175.145.481.553,59517026694.0,35866973969.0,19424814592.0,60336666298.0,175145481553.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày 1 tháng 1 năm 2021,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,105.703.859.726,17.666.764.216,12.830.222.939,43.764.797.805,179.965.644.686,105703859726.0,17666764216.0,12830222939.0,43764797805.0,179965644686.0
Tại ngày 31 tháng 12 năm 2021,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,95.895.621.196,18.465.765.185,20.659.280.560,34.725.959.508,169.746.626.449,95895621196.0,18465765185.0,20659280560.0,34725959508.0,169746626449.0
