row_label_raw,row_label_full,Dưới 1 năm > Từ 1 đến 5 năm,31/12/2025 > 53.508.263.344 > 7.871.820.000,01/01/2025 > 26.458.777.800 > 4.913.116.950,numeric__31/12/2025 > 53.508.263.344 > 7.871.820.000,numeric__01/01/2025 > 26.458.777.800 > 4.913.116.950
Cộng,Cộng,Cộng,61.380.083.344,31.371.894.750,61380083344.0,31371894750.0
oại tệ các loại,oại tệ các loại,oại tệ các loại,31/12/2025,01/01/2025,,
,,,Giá trị,Giá trị,,
D,oại tệ các loại > D,D,"5.405,61",5.419,5405.61,5419.0
