row_label_raw,row_label_full,col_0,01/01/2025,Số phát sinh tăng,Số phát sinh giảm (đã nộp/cấn trừ/khác),31/12/2025,numeric__01/01/2025,numeric__Số phát sinh tăng,numeric__Số phát sinh giảm (đã nộp/cấn trừ/khác),numeric__31/12/2025
a. Phải nộp,a. Phải nộp,a. Phải nộp,a. Phải nộp,a. Phải nộp,a. Phải nộp,a. Phải nộp,,,,
Tiền sử dụng đất (*),a. Phải nộp > Tiền sử dụng đất (*),Tiền sử dụng đất (*),5.086.401.139.738,(3.914.229.923.583),106.843.760.131,1.065.327.456.024,5086401139738.0,-3914229923583.0,106843760131.0,1065327456024.0
Tiền phạt chậm nộp (*),a. Phải nộp > Tiền phạt chậm nộp (*),Tiền phạt chậm nộp (*),1.581.266.537.510,(1.271.325.739.485),-,309.940.798.025,1581266537510.0,-1271325739485.0,,309940798025.0
"Thuế thu nhập doanh nghiệp (""TNDN"")","a. Phải nộp > Thuế thu nhập doanh nghiệp (""TNDN"")","Thuế thu nhập doanh nghiệp (""TNDN"")",948.068.398.270,(44.664.531.805),422.144.241.908,481.259.624.557,948068398270.0,-44664531805.0,422144241908.0,481259624557.0
"Thuế giá trị gia tăng (""GTGT"") hàng bán nội địa","a. Phải nộp > Thuế giá trị gia tăng (""GTGT"") hàng bán nội địa","Thuế giá trị gia tăng (""GTGT"") hàng bán nội địa",255.690.076.597,765.057.509.438,774.612.689.527,246.134.896.508,255690076597.0,765057509438.0,774612689527.0,246134896508.0
Thuế thu nhập cá nhân,a. Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,5.578.390.688,64.115.381.309,63.821.794.642,5.871.977.355,5578390688.0,64115381309.0,63821794642.0,5871977355.0
Các loại thuế khác,a. Phải nộp > Các loại thuế khác,Các loại thuế khác,31.890.417.507,91.392.079.032,103.140.991.553,20.141.504.986,31890417507.0,91392079032.0,103140991553.0,20141504986.0
Cộng,a. Phải nộp > Cộng,Cộng,7.908.894.960.310,(4.309.655.225.094),1.470.563.477.761,2.128.676.257.455,7908894960310.0,-4309655225094.0,1470563477761.0,2128676257455.0
b. Phải thu,b. Phải thu,b. Phải thu,b. Phải thu,b. Phải thu,b. Phải thu,b. Phải thu,,,,
Thuế GTGT được khấu trừ,b. Phải thu > Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,1.084.331.717.815,398.159.119.738,253.643.639.914,1.228.847.197.639,1084331717815.0,398159119738.0,253643639914.0,1228847197639.0
Thuế TNDN tạm nộp 1%,b. Phải thu > Thuế TNDN tạm nộp 1%,Thuế TNDN tạm nộp 1%,248.802.776.638,593.631.955,33.858.492.374,215.537.916.219,248802776638.0,593631955.0,33858492374.0,215537916219.0
Thuế TNDN nộp thừa,b. Phải thu > Thuế TNDN nộp thừa,Thuế TNDN nộp thừa,5.343.206.742,801.943.991,-,6.145.150.733,5343206742.0,801943991.0,,6145150733.0
"Các khoản phí, lệ phí và các khoản phải nộp khác","b. Phải thu > Các khoản phí, lệ phí và các khoản phải nộp khác","Các khoản phí, lệ phí và các khoản phải nộp khác",376.645.238,17.871.648.888,381.385.393,17.866.908.733,376645238.0,17871648888.0,381385393.0,17866908733.0
Cộng,b. Phải thu > Cộng,Cộng,1.338.854.346.433,417.426.344.572,287.883.517.681,1.468.397.173.324,1338854346433.0,417426344572.0,287883517681.0,1468397173324.0
