row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Thuyết minh,Năm 2025,Năm 2024,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2025,numeric__Năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,01,VII.1,6.966.355.811.153,9.079.619.602.216,1.0,,6966355811153.0,9079619602216.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,02,VII.2,607.525.088,6.244.128.255,2.0,,607525088.0,6244128255.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ(10 = 01 - 02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ(10 = 01 - 02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ(10 = 01 - 02),10,VII.3,6.965.748.286.065,9.073.375.473.961,10.0,,6965748286065.0,9073375473961.0
4. Giá vốn hàng bán,4. Giá vốn hàng bán,4. Giá vốn hàng bán,11,VII.4,2.540.527.281.835,8.989.801.418.151,11.0,,2540527281835.0,8989801418151.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20 = 10 -11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20 = 10 -11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20 = 10 -11),20,,4.425.221.004.230,83.574.055.810,20.0,,4425221004230.0,83574055810.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,VII.5,3.188.114.325.601,5.940.883.938.532,21.0,,3188114325601.0,5940883938532.0
7. Chi phí tài chính,7. Chi phí tài chính,7. Chi phí tài chính,22,VII.6,3.672.679.674.252,4.710.868.236.963,22.0,,3672679674252.0,4710868236963.0
Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,23,,148.464.773.101,291.396.806.443,23.0,,148464773101.0,291396806443.0
"8. Phần lãi hoặc (lỗ) trong công ty liên doanh, liên kết","8. Phần lãi hoặc (lỗ) trong công ty liên doanh, liên kết","8. Phần lãi hoặc (lỗ) trong công ty liên doanh, liên kết",24,,22.163.979.297,(6.155.240.237),24.0,,22163979297.0,-6155240237.0
9. Chi phí bán hàng,9. Chi phí bán hàng,9. Chi phí bán hàng,25,VII.7,611.302.598.310,533.971.724.119,25.0,,611302598310.0,533971724119.0
10. Chi phí quản lý doanh nghiệp,10. Chi phí quản lý doanh nghiệp,10. Chi phí quản lý doanh nghiệp,26,VII.8,1.289.620.968.466,1.449.937.734.036,26.0,,1289620968466.0,1449937734036.0
11. Lợi nhuận thuần từ hoạt động kinh doanh(30 = 20 + 21 - 22 + 24 - 25 - 26),11. Lợi nhuận thuần từ hoạt động kinh doanh(30 = 20 + 21 - 22 + 24 - 25 - 26),11. Lợi nhuận thuần từ hoạt động kinh doanh(30 = 20 + 21 - 22 + 24 - 25 - 26),30,,2.061.896.068.100,(676.474.941.013),30.0,,2061896068100.0,-676474941013.0
12. Thu nhập khác,12. Thu nhập khác,12. Thu nhập khác,31,VII.9,2.174.263.939.476,405.929.354.905,31.0,,2174263939476.0,405929354905.0
13. Chi phí khác,13. Chi phí khác,13. Chi phí khác,32,VII.10,1.208.994.429.914,2.285.118.688.241,32.0,,1208994429914.0,2285118688241.0
14. Lợi nhuận khác (40 = 31 - 32),14. Lợi nhuận khác (40 = 31 - 32),14. Lợi nhuận khác (40 = 31 - 32),40,,965.269.509.562,(1.879.189.333.336),40.0,,965269509562.0,-1879189333336.0
15. Tổng lợi nhuận kế toán trước thuế(50 = 30 + 40),15. Tổng lợi nhuận kế toán trước thuế(50 = 30 + 40),15. Tổng lợi nhuận kế toán trước thuế(50 = 30 + 40),50,,3.027.165.577.662,(2.555.664.274.349),50.0,,3027165577662.0,-2555664274349.0
16. Chi phí thuế TNDN hiện hành,16. Chi phí thuế TNDN hiện hành,16. Chi phí thuế TNDN hiện hành,51,VII.12,(42.858.803.919),861.820.090.664,51.0,,-42858803919.0,861820090664.0
17. Chi phí thuế TNDN hoãn lại,17. Chi phí thuế TNDN hoãn lại,17. Chi phí thuế TNDN hoãn lại,52,VII.12,1.208.616.873.370,977.157.838.690,52.0,,1208616873370.0,977157838690.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60 = 50 - 51 -52),18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60 = 50 - 51 -52),18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60 = 50 - 51 -52),60,,1.861.407.508.211,(4.394.642.203.703),60.0,,1861407508211.0,-4394642203703.0
19. Cổ đông của Công ty mẹ,19. Cổ đông của Công ty mẹ,19. Cổ đông của Công ty mẹ,61,,1.743.741.158.759,(6.454.779.904.770),61.0,,1743741158759.0,-6454779904770.0
20. Cổ đông không kiểm soát,20. Cổ đông không kiểm soát,20. Cổ đông không kiểm soát,62,,117.666.349.452,2.060.137.701.067,62.0,,117666349452.0,2060137701067.0
21. Lãi cơ bản trên cổ phiếu,21. Lãi cơ bản trên cổ phiếu,21. Lãi cơ bản trên cổ phiếu,70,VII.13,867,(3.229),70.0,,867.0,-3229.0
22. Lãi suy giảm trên cổ phiếu,22. Lãi suy giảm trên cổ phiếu,22. Lãi suy giảm trên cổ phiếu,71,VII.14,867,(3.229),71.0,,867.0,-3229.0
