row_label_raw,row_label_full,Chỉ tiêu,Năm 2024(Đã báo cáo),Năm 2024(trình bày lại),numeric__Năm 2024(Đã báo cáo),numeric__Năm 2024(trình bày lại)
Trên Báo cáo kết quả hoạt động kinh doanh hợp nhất,Trên Báo cáo kết quả hoạt động kinh doanh hợp nhất,Trên Báo cáo kết quả hoạt động kinh doanh hợp nhất,Trên Báo cáo kết quả hoạt động kinh doanh hợp nhất,Trên Báo cáo kết quả hoạt động kinh doanh hợp nhất,,
Lãi cơ bản trên cổ phiếu,Trên Báo cáo kết quả hoạt động kinh doanh hợp nhất > Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,(3.310),(3.229),-3310.0,-3229.0
Lãi suy giảm trên cổ phiếu,Trên Báo cáo kết quả hoạt động kinh doanh hợp nhất > Lãi suy giảm trên cổ phiếu,Lãi suy giảm trên cổ phiếu,(3.310),(3.229),-3310.0,-3229.0
