row_label_raw,row_label_full,Số dư đầu năm > Phân bố trong năm,Năm 2025 > 2.475.838.484.574 > (704.599.475.957),Năm 2024 > 3.696.777.259.435 > (847.540.135.684),numeric__Năm 2025 > 2.475.838.484.574 > (704.599.475.957),numeric__Năm 2024 > 3.696.777.259.435 > (847.540.135.684)
Giảm do thay đổi tỷ lệ sở hữu,Giảm do thay đổi tỷ lệ sở hữu,Giảm do thay đổi tỷ lệ sở hữu,(131.939.392.470),(373.398.639.177),-131939392470.0,-373398639177.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,1.639.299.616.147,2.475.838.484.574,1639299616147.0,2475838484574.0
