row_label_raw,row_label_full,col_0,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại_1,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả_1,numeric__Tài sản thuế TNDN hoãn lại,numeric__Tài sản thuế TNDN hoãn lại_1,numeric__Thuế TNDN hoãn lại phải trả,numeric__Thuế TNDN hoãn lại phải trả_1
,,,Năm 2025,Năm 2024,Năm 2025,Năm 2024,,,,
Số đầu năm,Số đầu năm,Số đầu năm,141.684.358.122,183.870.469.256,14.631.680.390.354,13.707.696.719.409,141684358122.0,183870469256.0,14631680390354.0,13707696719409.0
Ghi nhận kết quả kinh doanh,Ghi nhận kết quả kinh doanh,Ghi nhận kết quả kinh doanh,6.809.854.267,(42.186.111.134),1.215.426.727.637,934.971.727.556,6809854267.0,-42186111134.0,1215426727637.0,934971727556.0
Thoái vốn công ty con,Thoái vốn công ty con,Thoái vốn công ty con,(2.315.804.744),-,16.616.740,(10.988.056.611),-2315804744.0,,16616740.0,-10988056611.0
Số cuối năm,Số cuối năm,Số cuối năm,146.178.407.645,141.684.358.122,15.847.123.734.731,14.631.680.390.354,146178407645.0,141684358122.0,15847123734731.0,14631680390354.0
