row_label_raw,row_label_full,STT,Tên,Địa điểm,Hoạt động chính,31/12/2023,31/12/2023_1,01/01/2023,01/01/2023_1,numeric__Tên,numeric__Địa điểm,numeric__Hoạt động chính,numeric__31/12/2023,numeric__31/12/2023_1,numeric__01/01/2023,numeric__01/01/2023_1
STT,STT,STT,Tên,Địa điểm,Hoạt động chính,Tỷ lệ sở hữu (%),Tỷ lệ quyền biểu quyết (%),Tỷ lệ sở hữu (%),Tỷ lệ quyền biểu quyết (%),,,,,,,
1,STT > 1,1,Công ty Cổ phần Diện tử và Dịch vụ Công nghiệp Sài Gòn,"Phường Phú Nhuân, Thành phố Hồ Chí Minh","Kinh doanh buôn bán thiết bị, linh kiến điện tử, viễn thông","35,71","37,75","37,75","37,75",,,,35.71,37.75,37.75,37.75
2,STT > 2,2,Công ty TNHH Sài Gòn Gôn,"Phường Bình Trung, Thành phố Hồ Chí Minh",Kinh doanh bất động sản,"26,09","50,00","50,00","50,00",,,,26.09,50.0,50.0,50.0
3,STT > 3,3,Công ty Cổ phần Thương Mại Đầu tư Bất động sản Phú Tri,"Phường Vĩnh Hội, Thành phố Hồ Chí Minh",Kinh doanh bất động sản,"48,48","48,98","48,98","48,98",,,,48.48,48.98,48.98,48.98
4,STT > 4,4,Công ty Cổ phần Phát triển và Dịch vụ Nhà Bền Thành,"Phường Sài Gòn, Thành phố Hồ Chí Minh",Kinh doanh bất động sản,"25,00","25,00","25,00","25,00",,,,25.0,25.0,25.0,25.0
5,STT > 5,5,Công ty TNHH Đô thi Dịch vụ Amata Long Thành 1,"Xã An Phước, Tính Đồng Nai",Kinh doanh bất động sản,"48,89","49,00","48,89","49,00",,,,48.89,49.0,48.89,49.0
6,STT > 6,6,Công ty TNHH Đô thi Dịch vụ Amata Long Thành 2,"Xã An Phước, Tính Đồng Nai",Kinh doanh bất động sản,"49,00","49,00","49,00","49,00",,,,49.0,49.0,49.0,49.0
7,STT > 7,7,Công ty Cổ phần Hùng Ngư Security,"Phường Sài Gòn, Thành phố Hồ Chí Minh",Hoạt động báo về cả nhân,"23,98","24,00","23,99","24,00",,,,23.98,24.0,23.99,24.0
8,STT > 8,8,Công ty TNHH Vũng Tàu Investment,"Phường Phú Nhuân, Thành phố Hồ Chí Minh",Kinh doanh bất động sản,"48,84","49,00",-,-,,,,48.84,49.0,,
9,STT > 9,9,Công ty TNHH Vũng Tàu Beach City,"Phường Phú Nhuân, Thành phố Hồ Chí Minh",Kinh doanh bất động sản,"24,98","49,00",-,-,,,,24.98,49.0,,
10,STT > 10,10,Tổng Công ty Thủy Sản Việt Nam - Công ty Cổ phần,"Phường Sài Gòn, Thành phố Hồ Chí Minh","Sản xuất, thương mại, dịch vụ","24,02","24,03",-,-,,,,24.02,24.03,,
