row_label_raw,row_label_full,Hội đồng Quản trị,Hội đồng Quản trị_1,Hội đồng Quản trị_2,Hội đồng Quản trị_3,Hội đồng Quản trị_4,numeric__Hội đồng Quản trị_1,numeric__Hội đồng Quản trị_2,numeric__Hội đồng Quản trị_3,numeric__Hội đồng Quản trị_4
,,,,,Bổ nhiệm,Miễn nhiệm,,,,
Ông,Ông,Ông,Bùi Thành Nhơn,Chủ tịch HĐQT,03/02/2023,,,,,
Ông,Ông,Ông,Phạm Tiến Vân,Thành viên độc lập,26/04/2019,,,,,
Ông,Ông,Ông,Hoàng Đức Hùng,Thành viên độc lập,16/08/2023,,,,,
Ông,Ông,Ông,Dương Văn Bắc,Thành viên,24/04/2025,,,,,
Bà,Bà,Bà,Phạm Thị Hồng Nhung,Thành viên,07/08/2025,,,,,
Ông,Ông,Ông,Đoàn Minh Trường,Thành viên,24/04/2025,07/08/2025,,,,
Ông,Ông,Ông,Ng Teck Yow,Thành viên,22/06/2023,24/04/2025,,,,
Bà,Bà,Bà,Nguyễn Mỹ Hạnh,Thành viên độc lập,21/10/2020,24/04/2025,,,,
