row_label_raw,row_label_full,STT,Tên,Địa điểm,Hoạt động chính,Tỷ lệ sở hữu (%),Tỷ lệ quyền biểu quyết (%),Tỷ lệ sở hữu (%)_1,Tỷ lệ quyền biểu quyết (%)_1,numeric__Tên,numeric__Địa điểm,numeric__Hoạt động chính,numeric__Tỷ lệ sở hữu (%),numeric__Tỷ lệ quyền biểu quyết (%),numeric__Tỷ lệ sở hữu (%)_1,numeric__Tỷ lệ quyền biểu quyết (%)_1
1,1,1,Công ty Cổ phần Đầu tư Địa ốc No Va,"Phường Xuân Hòa, Thành phố Hồ Chí Minh",Kinh doanh bất động sản,"99,93","99,97","99,97","99,97",,,,99.93,99.97,99.97,99.97
2,2,2,Công ty Cổ phần Địa ốc Thành Nhơn,"Phường Xuân Hòa, Thành phố Hồ Chí Minh",Kinh doanh bất động sản,"52,19","60,51","99,99","100,00",,,,52.19,60.51,99.99,100.0
3,3,3,Công ty TNHH No Va Thảo Diền,"Phường Tân Hưng, Thành phố Hồ Chí Minh",Kinh doanh bất động sản,"99,99","99,99","99,99","99,99",,,,99.99,99.99,99.99,99.99
4,4,4,Công ty TNHH Địa ốc No Va Mỹ Đình,"Phường Tân Hưng, Thành phố Hồ Chí Minh",Kinh doanh bất động sản,"54,05","54,05","67,15","67,15",,,,54.05,54.05,67.15,67.15
5,5,5,Công ty Cổ phần The Prince Residence,"Phường Phú Nhuận, Thành phố Hồ Chí Minh",Kinh doanh bất động sản,"99,96","99,96","99,96","99,96",,,,99.96,99.96,99.96,99.96
6,6,6,Công ty TNHH Đầu Tư Địa ốc Nova Saigon Royal,"Phường Xóm Chiêu, Thành phố Hồ Chí Minh",Kinh doanh bất động sản,"100,00","100,00","100,00","100,00",,,,100.0,100.0,100.0,100.0
7,7,7,Công ty Cổ phần Phát triển Đô thi Kỳ Nguyên,"Phường Tân Hưng, Thành phố Hồ Chí Minh",Kinh doanh bất động sản,"100,00","100,00","100,00","100,00",,,,100.0,100.0,100.0,100.0
8,8,8,Công ty TNHH Ngôi Nhà Mega (tên cử:Công ty Cổ phần Ngôi Nhà Mega),"Phường Tân Hưng, Thành phố Hồ Chí Minh",Kinh doanh bất động sản,"99,93","99,93","98,60","98,60",,,,99.93,99.93,98.6,98.6
9,9,9,Công ty TNHH Đầu tư và Bất động sản Tường Minh,"Phường Long Hưng, Tỉnh Đồng Nai",Kinh doanh bất động sản,"100,00","100,00","100,00","100,00",,,,100.0,100.0,100.0,100.0
10,10,10,Công ty TNHH Bất động sản Bách Hợp,"Phường Tân Hưng, Thành phố Hồ Chí Minh",Kinh doanh bất động sản,"99,89","100,00","100,00","100,00",,,,99.89,100.0,100.0,100.0
11,11,11,Công ty TNHH Nova Rivergate,"Phường Khánh Hội, Thành phố Hồ Chí Minh",Kinh doanh bất động sản,"99,77","99,77","99,77","99,77",,,,99.77,99.77,99.77,99.77
