row_label_raw,row_label_full,Chỉ tiêu,Ghi nhận trênCân đối kế toán hợp nhất > 31/12/2025,Ghi nhận trênCân đối kế toán hợp nhất > 01/01/2025,Ghi nhận trênKQKD hợp nhất > Năm 2025,Ghi nhận trênKQKD hợp nhất > Năm 2024,numeric__Ghi nhận trênCân đối kế toán hợp nhất > 31/12/2025,numeric__Ghi nhận trênCân đối kế toán hợp nhất > 01/01/2025,numeric__Ghi nhận trênKQKD hợp nhất > Năm 2025,numeric__Ghi nhận trênKQKD hợp nhất > Năm 2024
1. Tài sản thuế TNDN hoãn lại,1. Tài sản thuế TNDN hoãn lại,1. Tài sản thuế TNDN hoãn lại,146.178.407.645,141.684.358.122,(6.809.854.267),42.186.111.134,146178407645.0,141684358122.0,-6809854267.0,42186111134.0
"Chênh lệch tạm thời từ lãi chưa thực hiện trong hàng tồn kho, chi phí trả trước dài hạn, bắt động sản đầu tư","Chênh lệch tạm thời từ lãi chưa thực hiện trong hàng tồn kho, chi phí trả trước dài hạn, bắt động sản đầu tư","Chênh lệch tạm thời từ lãi chưa thực hiện trong hàng tồn kho, chi phí trả trước dài hạn, bắt động sản đầu tư",74.161.799.085,74.297.345.920,135.546.835,11.535.805.330,74161799085.0,74297345920.0,135546835.0,11535805330.0
Chênh lệch tạm thời được khấu trừ các giao dịch khác,Chênh lệch tạm thời được khấu trừ các giao dịch khác,Chênh lệch tạm thời được khấu trừ các giao dịch khác,6.637.344.808,24.157.859.569,17.520.514.761,19.102.801.746,6637344808.0,24157859569.0,17520514761.0,19102801746.0
Lỗ tính thuế chưa sử dụng,Lỗ tính thuế chưa sử dụng,Lỗ tính thuế chưa sử dụng,65.379.263.752,43.229.152.633,(22.150.111.119),11.547.504.058,65379263752.0,43229152633.0,-22150111119.0,11547504058.0
Phát sinh do thoái vốn công ty con,Phát sinh do thoái vốn công ty con,Phát sinh do thoái vốn công ty con,-,-,(2.315.804.744),-,,,-2315804744.0,
2. Thuế TNDN hoãn lại phải trả,2. Thuế TNDN hoãn lại phải trả,2. Thuế TNDN hoãn lại phải trả,15.847.123.734.731,14.631.680.390.354,1.215.426.727.637,934.971.727.556,15847123734731.0,14631680390354.0,1215426727637.0,934971727556.0
Chênh lệch tạm thời từ việc đánh giá lại giá trị hợp lý tại ngày mua công ty con,Chênh lệch tạm thời từ việc đánh giá lại giá trị hợp lý tại ngày mua công ty con,Chênh lệch tạm thời từ việc đánh giá lại giá trị hợp lý tại ngày mua công ty con,9.571.628.379.765,9.675.221.573.232,(103.593.193.467),(172.121.330.601),9571628379765.0,9675221573232.0,-103593193467.0,-172121330601.0
Chênh lệch tạm thời từ chi phí lãi vay vốn hóa,Chênh lệch tạm thời từ chi phí lãi vay vốn hóa,Chênh lệch tạm thời từ chi phí lãi vay vốn hóa,5.845.325.605.561,4.857.319.361.778,988.006.243.783,1.064.352.071.569,5845325605561.0,4857319361778.0,988006243783.0,1064352071569.0
Chênh lệch tạm thời các giao dịch khác,Chênh lệch tạm thời các giao dịch khác,Chênh lệch tạm thời các giao dịch khác,430.169.749.405,99.139.455.344,331.030.294.061,31.752.929.977,430169749405.0,99139455344.0,331030294061.0,31752929977.0
Phát sinh do thoái vốn công ty con,Phát sinh do thoái vốn công ty con,Phát sinh do thoái vốn công ty con,-,-,(16.616.740),10.988.056.611,,,-16616740.0,10988056611.0
"3. Thuế TNDN hoãn lại tính vào kết quả kinh doanh hợp nhất (""KQKD"") (1+2)","3. Thuế TNDN hoãn lại tính vào kết quả kinh doanh hợp nhất (""KQKD"") (1+2)","3. Thuế TNDN hoãn lại tính vào kết quả kinh doanh hợp nhất (""KQKD"") (1+2)",,,1.208.616.873.370,977.157.838.690,,,1208616873370.0,977157838690.0
