row_label_raw,row_label_full,Trái phiếu có đại lý phát hành/tổ chức tư vấn,31/12/2025,01/01/2025,numeric__31/12/2025,numeric__01/01/2025
Trái phiếu ngắn hạn,Trái phiếu ngắn hạn,Trái phiếu ngắn hạn,14.162.368.355.738,22.734.434.869.114,14162368355738.0,22734434869114.0
Công ty Cổ phần Chứng khoán VPS (1),Công ty Cổ phần Chứng khoán VPS (1),Công ty Cổ phần Chứng khoán VPS (1),-,5.450.000.000.000,,5450000000000.0
Công ty Cổ phần chứng khoán SSI (2),Công ty Cổ phần chứng khoán SSI (2),Công ty Cổ phần chứng khoán SSI (2),3.428.000.000.000,3.428.000.000.000,3428000000000.0,3428000000000.0
Công ty Cổ phần Chứng khoán Dầu khí (3),Công ty Cổ phần Chứng khoán Dầu khí (3),Công ty Cổ phần Chứng khoán Dầu khí (3),3.905.851.886.354,3.148.959.959.577,3905851886354.0,3148959959577.0
Công ty Cổ phần Chứng khoán MB (4),Công ty Cổ phần Chứng khoán MB (4),Công ty Cổ phần Chứng khoán MB (4),1.809.003.400.000,2.498.003.400.000,1809003400000.0,2498003400000.0
Công ty Cổ phần Chứng khoán BIDV (5),Công ty Cổ phần Chứng khoán BIDV (5),Công ty Cổ phần Chứng khoán BIDV (5),1.946.593.558.827,2.221.389.546.790,1946593558827.0,2221389546790.0
Công ty Cổ phần Chứng Khoán Tân Việt (6),Công ty Cổ phần Chứng Khoán Tân Việt (6),Công ty Cổ phần Chứng Khoán Tân Việt (6),1.962.348.524.391,1.977.213.724.391,1962348524391.0,1977213724391.0
Công ty Cổ phần Chứng khoán Tiên Phong (7),Công ty Cổ phần Chứng khoán Tiên Phong (7),Công ty Cổ phần Chứng khoán Tiên Phong (7),-,1.440.000.000.000,,1440000000000.0
Công ty Cổ phần Chứng khoán Kỹ Thương (8),Công ty Cổ phần Chứng khoán Kỹ Thương (8),Công ty Cổ phần Chứng khoán Kỹ Thương (8),-,1.300.000.000.000,,1300000000000.0
Công ty Cổ phần Chứng khoán Ngân hàng Công Thương Việt Nam (9),Công ty Cổ phần Chứng khoán Ngân hàng Công Thương Việt Nam (9),Công ty Cổ phần Chứng khoán Ngân hàng Công Thương Việt Nam (9),926.100.104.460,945.651.923.252,926100104460.0,945651923252.0
Công ty Cổ phần Chứng khoán Thành Công,Công ty Cổ phần Chứng khoán Thành Công,Công ty Cổ phần Chứng khoán Thành Công,-,125.000.000.000,,125000000000.0
Công ty TNHH Chứng khoán Mirae Asset Việt Nam (10),Công ty TNHH Chứng khoán Mirae Asset Việt Nam (10),Công ty TNHH Chứng khoán Mirae Asset Việt Nam (10),112.804.181.706,115.320.415.104,112804181706.0,115320415104.0
Công ty TNHH Chứng khoán Yuanta (11),Công ty TNHH Chứng khoán Yuanta (11),Công ty TNHH Chứng khoán Yuanta (11),71.666.700.000,84.895.900.000,71666700000.0,84895900000.0
Trái phiếu dài hạn,Trái phiếu dài hạn,Trái phiếu dài hạn,10.879.291.021.440,14.580.872.840.875,10879291021440.0,14580872840875.0
Công ty Cổ phần Chứng khoán Dầu khí (3),Công ty Cổ phần Chứng khoán Dầu khí (3),Công ty Cổ phần Chứng khoán Dầu khí (3),-,2.440.655.501.595,,2440655501595.0
Công ty Cổ phần Chứng khoán MB (4),Công ty Cổ phần Chứng khoán MB (4),Công ty Cổ phần Chứng khoán MB (4),1.299.000.000.000,3.940.000.000.000,1299000000000.0,3940000000000.0
Công ty Cổ phần Chứng khoán BIDV (5),Công ty Cổ phần Chứng khoán BIDV (5),Công ty Cổ phần Chứng khoán BIDV (5),225.000.000.000,-,225000000000.0,
Công ty Cổ phần Chứng khoán Kỹ Thương (8),Công ty Cổ phần Chứng khoán Kỹ Thương (8),Công ty Cổ phần Chứng khoán Kỹ Thương (8),1.300.000.000.000,-,1300000000000.0,
"UBS AG, Singapore Branch (Trước dây là Credit Suise AG, Singapore Branch)(12)","UBS AG, Singapore Branch (Trước dây là Credit Suise AG, Singapore Branch)(12)","UBS AG, Singapore Branch (Trước dây là Credit Suise AG, Singapore Branch)(12)",8.055.291.021.440,8.200.217.339.280,8055291021440.0,8200217339280.0
Cộng,Cộng,Cộng,25.041.659.377.178,37.315.307.709.989,25041659377178.0,37315307709989.0
