row_label_raw,row_label_full,Khoản mục,Quyền sử dụng đất,"Nhà cửa, vật kiến trúc",Khác,Tổng cộng,numeric__Quyền sử dụng đất,"numeric__Nhà cửa, vật kiến trúc",numeric__Khác,numeric__Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,76.447.986.207,6.360.657.372.703,66.551.556.459,6.503.656.915.369,76447986207.0,6360657372703.0,66551556459.0,6503656915369.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(14.394.095.919),-,(14.394.095.919),,-14394095919.0,,-14394095919.0
Chuyến sang hàng tồn kho,Nguyên giá > Chuyến sang hàng tồn kho,Chuyến sang hàng tồn kho,-,(28.763.885.313),-,(28.763.885.313),,-28763885313.0,,-28763885313.0
Chuyến sang tài sản cố định hữu hình,Nguyên giá > Chuyến sang tài sản cố định hữu hình,Chuyến sang tài sản cố định hữu hình,-,(80.658.906.875),-,(80.658.906.875),,-80658906875.0,,-80658906875.0
Giám do thoái vốn công ty con,Nguyên giá > Giám do thoái vốn công ty con,Giám do thoái vốn công ty con,-,(299.504.505.624),-,(299.504.505.624),,-299504505624.0,,-299504505624.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,76.447.986.207,5.937.335.978.972,66.551.556.459,6.080.335.521.638,76447986207.0,5937335978972.0,66551556459.0,6080335521638.0
