row_label_raw,row_label_full,Bên liên quan,Chức vụ,Tính chất thu nhập,Năm 2025,Năm 2024,numeric__Chức vụ,numeric__Tính chất thu nhập,numeric__Năm 2025,numeric__Năm 2024
1. Hội đồng quản trị,1. Hội đồng quản trị,1. Hội đồng quản trị,1. Hội đồng quản trị,1. Hội đồng quản trị,1. Hội đồng quản trị,1. Hội đồng quản trị,,,,
Bùi Thành Nhơn,1. Hội đồng quản trị > Bùi Thành Nhơn,Bùi Thành Nhơn,Chủ tịch HĐQT,Thù lao,1.200.000.000,1.200.000.000,,,1200000000.0,1200000000.0
Phạm Tiến Vân,1. Hội đồng quản trị > Phạm Tiến Vân,Phạm Tiến Vân,Thành viên độc lập,Thù lao,600.000.000,600.000.000,,,600000000.0,600000000.0
Hoàng Đức Hùng,1. Hội đồng quản trị > Hoàng Đức Hùng,Hoàng Đức Hùng,Thành viên độc lập,Thù lao,600.000.000,600.000.000,,,600000000.0,600000000.0
Hoàng Đức Hùng,Hoàng Đức Hùng,Hoàng Đức Hùng,Thành viên HĐQT,,,,,,,
Dương Văn Bắc,Hoàng Đức Hùng > Dương Văn Bắc,Dương Văn Bắc,(từ ngày 24/04/2025),Thù lao,79.545.455,-,,,79545455.0,
Dương Văn Bắc,Dương Văn Bắc,Dương Văn Bắc,Thành viên HĐQT,,,,,,,
Phạm Thị Hồng Nhung,Dương Văn Bắc > Phạm Thị Hồng Nhung,Phạm Thị Hồng Nhung,(từ ngày 07/08/2025),Thù lao,45.217.391,-,,,45217391.0,
Phạm Thị Hồng Nhung,Phạm Thị Hồng Nhung,Phạm Thị Hồng Nhung,Thành viên HĐQT,,,,,,,
Phạm Thị Hồng Nhung,Phạm Thị Hồng Nhung,Phạm Thị Hồng Nhung,(từ ngày 24/04/2025,,,,,,,
Đoàn Minh Trường,Phạm Thị Hồng Nhung > Đoàn Minh Trường,Đoàn Minh Trường,đến ngày 07/08/2025),Thù lao,34.328.064,-,,,34328064.0,
Đoàn Minh Trường,Đoàn Minh Trường,Đoàn Minh Trường,Thành viên độc lập,,,,,,,
Nguyễn Mỹ Hạnh,Đoàn Minh Trường > Nguyễn Mỹ Hạnh,Nguyễn Mỹ Hạnh,(đến ngày 24/04/2025),Thù lao,202.272.727,600.000.000,,,202272727.0,600000000.0
Nguyễn Mỹ Hạnh,Nguyễn Mỹ Hạnh,Nguyễn Mỹ Hạnh,Thành viên HĐQT,,,,,,,
Ng Teck Yow,Nguyễn Mỹ Hạnh > Ng Teck Yow,Ng Teck Yow,(đến ngày 24/04/2025),Thù lao,202.272.727,200.000.000,,,202272727.0,200000000.0
