row_label_raw,row_label_full,Số đầu năm,Năm 2025 > 420.500.976.091,Năm 2024 > 160.945.428.900,numeric__Năm 2025 > 420.500.976.091,numeric__Năm 2024 > 160.945.428.900
Trích lập dự phòng bổ sung,Trích lập dự phòng bổ sung,Trích lập dự phòng bổ sung,208.000.000,261.645.785.215,208000000.0,261645785215.0
Hoàn nhập dự phòng,Hoàn nhập dự phòng,Hoàn nhập dự phòng,-,(2.090.238.024),,-2090238024.0
Số cuối năm,Số cuối năm,Số cuối năm,420.708.976.091,420.500.976.091,420708976091.0,420500976091.0
