row_label_raw,row_label_full,Khoản mục > Giá trị hao mòn lũy kế > Số dư đầu năm > Khấu hao trong năm,Quyền sử dụng đất > Giá trị hao mòn lũy kế > -,"Nhà cửa, vật kiến trúc > Giá trị hao mòn lũy kế > 759.789.488.654 > 221.158.026.131",Khác > Giá trị hao mòn lũy kế > 6.688.378.715 > 8.131.665.551,Tổng cộng > Giá trị hao mòn lũy kế > 766.477.867.369 > 229.289.691.682,numeric__Quyền sử dụng đất > Giá trị hao mòn lũy kế > -,"numeric__Nhà cửa, vật kiến trúc > Giá trị hao mòn lũy kế > 759.789.488.654 > 221.158.026.131",numeric__Khác > Giá trị hao mòn lũy kế > 6.688.378.715 > 8.131.665.551,numeric__Tổng cộng > Giá trị hao mòn lũy kế > 766.477.867.369 > 229.289.691.682
"Thanh lý, nhượng bán","Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(6.317.458.238),-,(6.317.458.238),,-6317458238.0,,-6317458238.0
Chuyển sang hàng tồn kho,Chuyển sang hàng tồn kho,Chuyển sang hàng tồn kho,-,(2.953.452.668),-,(2.953.452.668),,-2953452668.0,,-2953452668.0
Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,-,(11.353.186.527),-,(11.353.186.527),,-11353186527.0,,-11353186527.0
Giám do thoái vốn công ty con,Giám do thoái vốn công ty con,Giám do thoái vốn công ty con,-,(46.051.637.314),-,(46.051.637.314),,-46051637314.0,,-46051637314.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,-,914.271.780.038,14.820.044.266,929.091.824.304,,914271780038.0,14820044266.0,929091824304.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,76.447.986.207,5.600.867.884.049,59.863.177.744,5.737.179.048.000,76447986207.0,5600867884049.0,59863177744.0,5737179048000.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,76.447.986.207,5.023.064.198.934,51.731.512.193,5.151.243.697.334,76447986207.0,5023064198934.0,51731512193.0,5151243697334.0
