row_label_raw,row_label_full,Khoản mục > Số dư đầu năm trước > Lợi nhuận thuần trong năm,Vốn góp của chủ sở hữu > 19.501.045.380.000 > -,Thặng dư vốn cổ phần > 5.051.601.924.626 > -,Lợi nhuận sau thuế chưa phân phối > 13.494.207.570.271 > (6.454.779.904.770),Lợi ích cổ đông không kiểm soát > 7.255.995.167.506 > 2.060.137.701.067,Cộng > 45.302.850.042.403 > (4.394.642.203.703),numeric__Vốn góp của chủ sở hữu > 19.501.045.380.000 > -,numeric__Thặng dư vốn cổ phần > 5.051.601.924.626 > -,numeric__Lợi nhuận sau thuế chưa phân phối > 13.494.207.570.271 > (6.454.779.904.770),numeric__Lợi ích cổ đông không kiểm soát > 7.255.995.167.506 > 2.060.137.701.067,numeric__Cộng > 45.302.850.042.403 > (4.394.642.203.703)
Giảm do nhận cổ tức,Giảm do nhận cổ tức,Giảm do nhận cổ tức,-,-,-,(37.153.487),(37.153.487),,,,-37153487.0,-37153487.0
Giảm vốn công ty con,Giảm vốn công ty con,Giảm vốn công ty con,-,-,-,(413.083.000),(413.083.000),,,,-413083000.0,-413083000.0
Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,-,-,-,(158.604.422),(158.604.422),,,,-158604422.0,-158604422.0
Thay đổi tỷ lệ của công ty con đã nằm quyền kiểm soát,Thay đổi tỷ lệ của công ty con đã nằm quyền kiểm soát,Thay đổi tỷ lệ của công ty con đã nằm quyền kiểm soát,-,-,6.241.691.076.578,141.734.284.245,6.383.425.360.823,,,6241691076578.0,141734284245.0,6383425360823.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,19.501.045.380.000,5.051.601.924.626,13.281.118.742.079,9.457.258.311.909,47.291.024.358.614,19501045380000.0,5051601924626.0,13281118742079.0,9457258311909.0,47291024358614.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,19.501.045.380.000,5.051.601.924.626,13.281.118.742.079,9.457.258.311.909,47.291.024.358.614,19501045380000.0,5051601924626.0,13281118742079.0,9457258311909.0,47291024358614.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,1.743.741.158.759,117.666.349.452,1.861.407.508.211,,,1743741158759.0,117666349452.0,1861407508211.0
Phát hành cổ phần theo chương trình ESOP (1),Phát hành cổ phần theo chương trình ESOP (1),Phát hành cổ phần theo chương trình ESOP (1),487.526.130.000,(487.526.130.000),-,-,-,487526130000.0,-487526130000.0,,,
Phát hành cổ phần theo chương trình ESOP (1),Phát hành cổ phần theo chương trình ESOP (1),Phát hành cổ phần theo chương trình ESOP (1),487.526.130.000,-,-,-,487.526.130.000,487526130000.0,,,,487526130000.0
Phát hành cổ phiếu đề hoán đổi nợ phải trả (2),Phát hành cổ phiếu đề hoán đổi nợ phải trả (2),Phát hành cổ phiếu đề hoán đổi nợ phải trả (2),1.636.583.910.000,940.490.274.833,-,-,2.577.074.184.833,1636583910000.0,940490274833.0,,,2577074184833.0
Phát hành cổ phiếu đề chuyển đổi trái phiếu chuyển đổi (3),Phát hành cổ phiếu đề chuyển đổi trái phiếu chuyển đổi (3),Phát hành cổ phiếu đề chuyển đổi trái phiếu chuyển đổi (3),207.503.940.000,539.510.371.680,-,-,747.014.311.680,207503940000.0,539510371680.0,,,747014311680.0
Chỉ phí liên quan đến việc phát hành cổ phiếu,Chỉ phí liên quan đến việc phát hành cổ phiếu,Chỉ phí liên quan đến việc phát hành cổ phiếu,-,(688.907.500),-,-,(688.907.500),,-688907500.0,,,-688907500.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,(10.851.613),(10.851.613),,,,-10851613.0,-10851613.0
Thay đổi tỷ lệ của công ty con đã nằm quyền kiểm soát,Thay đổi tỷ lệ của công ty con đã nằm quyền kiểm soát,Thay đổi tỷ lệ của công ty con đã nằm quyền kiểm soát,-,-,1.950.728.288.494,3.978.915.353.144,5.929.643.641.638,,,1950728288494.0,3978915353144.0,5929643641638.0
Số dư cuối năm này,Số dư cuối năm này,Số dư cuối năm này,22.320.185.490.000,6.043.387.533.639,16.975.588.189.332,13.553.829.162.892,58.892.990.375.863,22320185490000.0,6043387533639.0,16975588189332.0,13553829162892.0,58892990375863.0
