row_label_raw,row_label_full,col_0,31/12/2025 > Giá trị,31/12/2025 > Dự phòng,01/01/2025 > Giá trị,01/01/2025 > Dự phòng,numeric__31/12/2025 > Giá trị,numeric__31/12/2025 > Dự phòng,numeric__01/01/2025 > Giá trị,numeric__01/01/2025 > Dự phòng
a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,22.309.450.851.275,(18.474.043.095),37.982.680.530.513,(16.783.778.684),22309450851275.0,-18474043095.0,37982680530513.0,-16783778684.0
Hợp tác đầu tư và phát triển dự án (1),Hợp tác đầu tư và phát triển dự án (1),Hợp tác đầu tư và phát triển dự án (1),6.517.459.104.600,-,17.977.398.000.000,-,6517459104600.0,,17977398000000.0,
Phải thu từ chuyển nhượng cổ phần,Phải thu từ chuyển nhượng cổ phần,Phải thu từ chuyển nhượng cổ phần,-,-,5.132.000.000.000,-,,,5132000000000.0,
"Đặt cọc mua cổ phần, nhận chuyển nhượng vốn góp (2)","Đặt cọc mua cổ phần, nhận chuyển nhượng vốn góp (2)","Đặt cọc mua cổ phần, nhận chuyển nhượng vốn góp (2)",4.198.475.417.804,-,4.629.747.629.468,-,4198475417804.0,,4629747629468.0,
"Phải thu lãi tiền gửi, cho vay và lãi hợp tác đầu tư","Phải thu lãi tiền gửi, cho vay và lãi hợp tác đầu tư","Phải thu lãi tiền gửi, cho vay và lãi hợp tác đầu tư",2.084.492.999.559,(88.413.342),1.634.739.865.026,(88.413.342),2084492999559.0,-88413342.0,1634739865026.0,-88413342.0
Đặt cọc nhận chuyển nhượng bất động sản và dự án (3),Đặt cọc nhận chuyển nhượng bất động sản và dự án (3),Đặt cọc nhận chuyển nhượng bất động sản và dự án (3),2.837.928.079.141,-,2.837.661.935.511,-,2837928079141.0,,2837661935511.0,
Phải thu đo hoán đổi sản phẩm bất động sản (4),Phải thu đo hoán đổi sản phẩm bất động sản (4),Phải thu đo hoán đổi sản phẩm bất động sản (4),1.148.733.241.334,-,1.374.767.794.696,-,1148733241334.0,,1374767794696.0,
Thuế GTGT tạm nộp,Thuế GTGT tạm nộp,Thuế GTGT tạm nộp,1.053.540.648.472,-,1.053.540.648.471,-,1053540648472.0,,1053540648471.0,
Tạm ứng lãi hợp tác đầu tư,Tạm ứng lãi hợp tác đầu tư,Tạm ứng lãi hợp tác đầu tư,1.170.000.000.000,-,1.018.500.000.000,-,1170000000000.0,,1018500000000.0,
Tạm ứng cho các dự án,Tạm ứng cho các dự án,Tạm ứng cho các dự án,386.609.555.757,-,369.476.843.656,-,386609555757.0,,369476843656.0,
Phải thu khác,Phải thu khác,Phải thu khác,2.912.211.804.608,(18.385.629.753),1.954.847.813.685,(16.695.365.342),2912211804608.0,-18385629753.0,1954847813685.0,-16695365342.0
