row_label_raw,row_label_full,Khoản mục,"Nhà cửa,vật kiến trúc",Máy mócthiết bị,Phương tiệnvận tải,Thiết bị dụng cụquản lý,Tài sản cố định hữuhình khác,Tổng cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy mócthiết bị,numeric__Phương tiệnvận tải,numeric__Thiết bị dụng cụquản lý,numeric__Tài sản cố định hữuhình khác,numeric__Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.685.608.486.832,50.945.451.486,303.800.054.333,73.530.372.917,172.287.034.603,2.286.171.400.171,1685608486832.0,50945451486.0,303800054333.0,73530372917.0,172287034603.0,2286171400171.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,134.000.000,183.000.000,5.625.376.363,434.348.667,-,6.376.725.030,134000000.0,183000000.0,5625376363.0,434348667.0,,6376725030.0
Chuyên từ BDS đầu tư,Nguyên giá > Chuyên từ BDS đầu tư,Chuyên từ BDS đầu tư,80.658.906.875,-,-,-,-,80.658.906.875,80658906875.0,,,,,80658906875.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(2.545.302.000),(2.390.000.000),-,(4.935.302.000),,,-2545302000.0,-2390000000.0,,-4935302000.0
Giảm do thoái vốn công ty con,Nguyên giá > Giảm do thoái vốn công ty con,Giảm do thoái vốn công ty con,(312.500.000),(58.272.727),-,(476.272.727),-,(847.045.454),-312500000.0,-58272727.0,,-476272727.0,,-847045454.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,-,(3.702.109.091),-,-,(3.702.109.091),,,-3702109091.0,,,-3702109091.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.766.088.893.707,51.070.178.759,303.178.019.605,71.098.448.857,172.287.034.603,2.363.722.575.531,1766088893707.0,51070178759.0,303178019605.0,71098448857.0,172287034603.0,2363722575531.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,,
Số dư đầu năm,Giá trị khấu hao lũy kế > Số dư đầu năm,Số dư đầu năm,169.367.350.994,29.333.012.786,139.705.142.462,63.890.588.274,8.180.377.515,410.476.472.031,169367350994.0,29333012786.0,139705142462.0,63890588274.0,8180377515.0,410476472031.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,55.409.665.799,3.944.995.909,33.754.610.178,3.377.606.965,11.647.867.318,108.134.746.169,55409665799.0,3944995909.0,33754610178.0,3377606965.0,11647867318.0,108134746169.0
Chuyên từ BDS đầu tư,Giá trị khấu hao lũy kế > Chuyên từ BDS đầu tư,Chuyên từ BDS đầu tư,11.353.186.527,-,-,-,-,11.353.186.527,11353186527.0,,,,,11353186527.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(2.545.302.000),(1.195.000.000),-,(3.740.302.000),,,-2545302000.0,-1195000000.0,,-3740302000.0
Giảm do thoái vốn công ty con,Giá trị khấu hao lũy kế > Giảm do thoái vốn công ty con,Giảm do thoái vốn công ty con,(312.500.000),(58.272.727),-,(476.272.727),-,(847.045.454),-312500000.0,-58272727.0,,-476272727.0,,-847045454.0
Phân loại lại,Giá trị khấu hao lũy kế > Phân loại lại,Phân loại lại,-,-,(1.141.483.636),-,-,(1.141.483.636),,,-1141483636.0,,,-1141483636.0
Số dư cuối năm,Giá trị khấu hao lũy kế > Số dư cuối năm,Số dư cuối năm,235.817.703.320,33.219.735.968,169.772.967.004,65.596.922.512,19.828.244.833,524.235.573.637,235817703320.0,33219735968.0,169772967004.0,65596922512.0,19828244833.0,524235573637.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.516.241.135.838,21.612.438.700,164.094.911.871,9.639.784.643,164.106.657.088,1.875.694.928.140,1516241135838.0,21612438700.0,164094911871.0,9639784643.0,164106657088.0,1875694928140.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.530.271.190.387,17.850.442.791,133.405.052.601,5.501.526.345,152.458.789.770,1.839.487.001.894,1530271190387.0,17850442791.0,133405052601.0,5501526345.0,152458789770.0,1839487001894.0
