row_label_raw,row_label_full,VI.15 Chi phí xây dựng cơ bản dở dang,31/12/2025,01/01/2025,numeric__31/12/2025,numeric__01/01/2025
Mua sắm TSCĐ,Mua sắm TSCĐ,Mua sắm TSCĐ,274.905.083.990,273.844.026.675,274905083990.0,273844026675.0
Thi công nhà mẫu,Thi công nhà mẫu,Thi công nhà mẫu,55.968.723.485,73.792.600.383,55968723485.0,73792600383.0
Cải tạo văn phòng,Cải tạo văn phòng,Cải tạo văn phòng,15.483.301.375,4.107.799.041,15483301375.0,4107799041.0
Khác,Khác,Khác,10.355.711.125,10.259.013.031,10355711125.0,10259013031.0
Cộng,Cộng,Cộng,356.712.819.975,362.003.439.130,356712819975.0,362003439130.0
Biến động về chi phí xây dựng cơ bản dở dang trong năm như sau:,Biến động về chi phí xây dựng cơ bản dở dang trong năm như sau:,Biến động về chi phí xây dựng cơ bản dở dang trong năm như sau:,Biến động về chi phí xây dựng cơ bản dở dang trong năm như sau:,Biến động về chi phí xây dựng cơ bản dở dang trong năm như sau:,,
Số dư đầu năm,Biến động về chi phí xây dựng cơ bản dở dang trong năm như sau: > Số dư đầu năm,Số dư đầu năm,362.003.439.130,346.663.430.640,362003439130.0,346663430640.0
Tăng trong năm,Biến động về chi phí xây dựng cơ bản dở dang trong năm như sau: > Tăng trong năm,Tăng trong năm,13.914.580.845,8.598.802.793,13914580845.0,8598802793.0
Kết chuyển sang TSCĐ hữu hình,Biến động về chi phí xây dựng cơ bản dở dang trong năm như sau: > Kết chuyển sang TSCĐ hữu hình,Kết chuyển sang TSCĐ hữu hình,-,11.247.624.241,,11247624241.0
Kết chuyển sang hàng tồn kho,Biến động về chi phí xây dựng cơ bản dở dang trong năm như sau: > Kết chuyển sang hàng tồn kho,Kết chuyển sang hàng tồn kho,(19.205.200.000),(730.149.429),-19205200000.0,-730149429.0
Chuyển sang chi phí trả trước dài hạn,Biến động về chi phí xây dựng cơ bản dở dang trong năm như sau: > Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,-,(1.771.276.463),,-1771276463.0
Khác,Biến động về chi phí xây dựng cơ bản dở dang trong năm như sau: > Khác,Khác,-,(2.004.992.652),,-2004992652.0
Số dư cuối năm,Biến động về chi phí xây dựng cơ bản dở dang trong năm như sau: > Số dư cuối năm,Số dư cuối năm,356.712.819.975,362.003.439.130,356712819975.0,362003439130.0
