row_label_raw,row_label_full,Bên liên quan,Số dư tại ngày > 31/12/2025,Số dư tại ngày > 01/01/2025,numeric__Số dư tại ngày > 31/12/2025,numeric__Số dư tại ngày > 01/01/2025
1. Phải thu khách hàng ngắn hạn,1. Phải thu khách hàng ngắn hạn,1. Phải thu khách hàng ngắn hạn,20.825.145.237,24.008.195.237,20825145237.0,24008195237.0
Công ty Cổ phần Phát triển và Dịch vụ Nhà Bến Thành,Công ty Cổ phần Phát triển và Dịch vụ Nhà Bến Thành,Công ty Cổ phần Phát triển và Dịch vụ Nhà Bến Thành,3.585.825.237,3.585.825.237,3585825237.0,3585825237.0
Công ty Cổ phần Đầu tư Phát triển NSQ,Công ty Cổ phần Đầu tư Phát triển NSQ,Công ty Cổ phần Đầu tư Phát triển NSQ,17.239.320.000,20.422.370.000,17239320000.0,20422370000.0
2. Phải thu về cho vay ngắn hạn,2. Phải thu về cho vay ngắn hạn,2. Phải thu về cho vay ngắn hạn,-,17.572.000.000,,17572000000.0
Công ty Cổ phần Đầu tư và Phát triển Bất động sản Open Land,Công ty Cổ phần Đầu tư và Phát triển Bất động sản Open Land,Công ty Cổ phần Đầu tư và Phát triển Bất động sản Open Land,-,17.572.000.000,,17572000000.0
3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,155.654.224.122,162.937.374.192,155654224122.0,162937374192.0
Công ty Cổ phần Đầu tư và Phát triển Bất động sản Open Land,Công ty Cổ phần Đầu tư và Phát triển Bất động sản Open Land,Công ty Cổ phần Đầu tư và Phát triển Bất động sản Open Land,37.450.000.000,41.727.287.998,37450000000.0,41727287998.0
Công ty Cổ phần Phát triển và Dịch vụ Nhà Bến Thành,Công ty Cổ phần Phát triển và Dịch vụ Nhà Bến Thành,Công ty Cổ phần Phát triển và Dịch vụ Nhà Bến Thành,27.804.224.122,30.810.086.194,27804224122.0,30810086194.0
Công ty Cổ phần Điện Tử và Dịch vụ Công nghiệp Sài Gòn,Công ty Cổ phần Điện Tử và Dịch vụ Công nghiệp Sài Gòn,Công ty Cổ phần Điện Tử và Dịch vụ Công nghiệp Sài Gòn,90.400.000.000,90.400.000.000,90400000000.0,90400000000.0
4. Phải thu dài hạn khác,4. Phải thu dài hạn khác,4. Phải thu dài hạn khác,-,76.000.000.000,,76000000000.0
Người liên quan chủ tịch HDQT,Người liên quan chủ tịch HDQT,Người liên quan chủ tịch HDQT,-,76.000.000.000,,76000000000.0
5. Phải trả người bán ngắn hạn,5. Phải trả người bán ngắn hạn,5. Phải trả người bán ngắn hạn,1.485.887.095,2.364.186.295,1485887095.0,2364186295.0
Công ty Cổ phần NovaGroup,Công ty Cổ phần NovaGroup,Công ty Cổ phần NovaGroup,1.485.887.095,1.485.887.095,1485887095.0,1485887095.0
Công ty Cổ phần Hùng Ngự Security,Công ty Cổ phần Hùng Ngự Security,Công ty Cổ phần Hùng Ngự Security,-,878.299.200,,878299200.0
6. Chi phí phải trả ngắn hạn,6. Chi phí phải trả ngắn hạn,6. Chi phí phải trả ngắn hạn,62.290.797.617,27.535.702.266,62290797617.0,27535702266.0
Công ty Cổ phần Đầu tư và Phát triển Bất động sản Open Land,Công ty Cổ phần Đầu tư và Phát triển Bất động sản Open Land,Công ty Cổ phần Đầu tư và Phát triển Bất động sản Open Land,62.290.797.617,27.466.245.282,62290797617.0,27466245282.0
Công ty Cổ phần Thương mại Đầu tư Bất động sản Phú Trí,Công ty Cổ phần Thương mại Đầu tư Bất động sản Phú Trí,Công ty Cổ phần Thương mại Đầu tư Bất động sản Phú Trí,-,69.456.984,,69456984.0
7. Phải trả ngắn hạn khác,7. Phải trả ngắn hạn khác,7. Phải trả ngắn hạn khác,105.116.098.583,2.638.995.268.564,105116098583.0,2638995268564.0
Công ty Cổ phần NovaGroup,Công ty Cổ phần NovaGroup,Công ty Cổ phần NovaGroup,105.116.098.583,2.527.222.986.403,105116098583.0,2527222986403.0
Công ty Cổ phần Diamond Properties,Công ty Cổ phần Diamond Properties,Công ty Cổ phần Diamond Properties,-,111.772.282.161,,111772282161.0
8. Vay và nợ thuê tài chính ngắn hạn,8. Vay và nợ thuê tài chính ngắn hạn,8. Vay và nợ thuê tài chính ngắn hạn,62.065.442.012,58.540.271.569,62065442012.0,58540271569.0
Công ty Cổ phần Đầu tư và Phát triển Bất động sản Open Land,Công ty Cổ phần Đầu tư và Phát triển Bất động sản Open Land,Công ty Cổ phần Đầu tư và Phát triển Bất động sản Open Land,62.065.442.012,57.640.271.569,62065442012.0,57640271569.0
Công ty Cổ phần Thương mại Đầu tư Bất động sản Phú Trí,Công ty Cổ phần Thương mại Đầu tư Bất động sản Phú Trí,Công ty Cổ phần Thương mại Đầu tư Bất động sản Phú Trí,-,900.000.000,,900000000.0
