row_label_raw,row_label_full,Tên công ty liên kết,01/01/2025 > Giá trị hợp lý,01/01/2025 > Giá trị ghi số,Biến động khoản đầu tư trong năm > Đầu tư thêm trong năm,"Biến động khoản đầu tư trong năm > Phân chia lãi/(lỗ) từ các công ty liên kết, liên doanh",Biến động khoản đầu tư trong năm > Cổ tức đã nhận trong năm,31/12/2025 > Giá trị ghi số,31/12/2025 > Giá trị hợp lý,numeric__01/01/2025 > Giá trị hợp lý,numeric__01/01/2025 > Giá trị ghi số,numeric__Biến động khoản đầu tư trong năm > Đầu tư thêm trong năm,"numeric__Biến động khoản đầu tư trong năm > Phân chia lãi/(lỗ) từ các công ty liên kết, liên doanh",numeric__Biến động khoản đầu tư trong năm > Cổ tức đã nhận trong năm,numeric__31/12/2025 > Giá trị ghi số,numeric__31/12/2025 > Giá trị hợp lý
1. Công ty Cổ phần Thương Mại Đầu tư Bất động sản Phú Trí,1. Công ty Cổ phần Thương Mại Đầu tư Bất động sản Phú Trí,1. Công ty Cổ phần Thương Mại Đầu tư Bất động sản Phú Trí,(*),569.200.822.094,-,(4.083.761.051),-,565.117.061.043,(*),,569200822094.0,,-4083761051.0,,565117061043.0,
2. Công ty TNHH Đô thị Dịch vụ Amata Long Thành 2,2. Công ty TNHH Đô thị Dịch vụ Amata Long Thành 2,2. Công ty TNHH Đô thị Dịch vụ Amata Long Thành 2,(*),387.099.667.076,149.460.532.191,(36.295.800),-,536.523.903.467,(*),,387099667076.0,149460532191.0,-36295800.0,,536523903467.0,
3. Công ty TNHH Đô thị Dịch vụ Amata Long Thành 1,3. Công ty TNHH Đô thị Dịch vụ Amata Long Thành 1,3. Công ty TNHH Đô thị Dịch vụ Amata Long Thành 1,(*),369.117.182.803,29.252.330.283,(37.762.961),-,398.331.750.125,(*),,369117182803.0,29252330283.0,-37762961.0,,398331750125.0,
4. Công ty Cổ phần Phát triển và Dịch vụ Nhà Bến Thành,4. Công ty Cổ phần Phát triển và Dịch vụ Nhà Bến Thành,4. Công ty Cổ phần Phát triển và Dịch vụ Nhà Bến Thành,(*),82.838.549.373,-,5.815.177.209,(5.471.255.402),83.182.471.180,(*),,82838549373.0,,5815177209.0,-5471255402.0,83182471180.0,
5. Công ty Cổ phần Hùng Ngự Security,5. Công ty Cổ phần Hùng Ngự Security,5. Công ty Cổ phần Hùng Ngự Security,(*),2.314.148.068,-,(14.623.434),-,2.299.524.634,(*),,2314148068.0,,-14623434.0,,2299524634.0,
6. Công ty Cổ phần Điện tử và Dịch vụ Công nghiệp Sài Gòn,6. Công ty Cổ phần Điện tử và Dịch vụ Công nghiệp Sài Gòn,6. Công ty Cổ phần Điện tử và Dịch vụ Công nghiệp Sài Gòn,(*),770.404.855,-,(31.158.804),-,739.246.051,(*),,770404855.0,,-31158804.0,,739246051.0,
7. Công ty TNHH Sài Gòn Gôn,7. Công ty TNHH Sài Gòn Gôn,7. Công ty TNHH Sài Gòn Gôn,(*),-,-,-,-,-,(*),,,,,,,
8. Công ty TNHH Vũng Tàu Investment,7. Công ty TNHH Sài Gòn Gôn > 8. Công ty TNHH Vũng Tàu Investment,8. Công ty TNHH Vũng Tàu Investment,(*),-,1.401.500.000.000,20.552.404.138,-,1.422.052.404.138,(*),,,1401500000000.0,20552404138.0,,1422052404138.0,
9. Công ty TNHH Vũng Tàu Beach City,7. Công ty TNHH Sài Gòn Gôn > 9. Công ty TNHH Vũng Tàu Beach City,9. Công ty TNHH Vũng Tàu Beach City,(*),-,955.646.000.000,-,-,955.646.000.000,(*),,,955646000000.0,,,955646000000.0,
10. Tổng Công ty Thủy Sản Việt Nam - Công ty Cổ phần,7. Công ty TNHH Sài Gòn Gôn > 10. Tổng Công ty Thủy Sản Việt Nam - Công ty Cổ phần,10. Tổng Công ty Thủy Sản Việt Nam - Công ty Cổ phần,(*),-,1.032.740.143.520,-,-,1.032.740.143.520,(*),,,1032740143520.0,,,1032740143520.0,
Cộng,7. Công ty TNHH Sài Gòn Gôn > Cộng,Cộng,,1.411.340.774.269,3.568.599.005.994,22.163.979.297,(5.471.255.402),4.996.632.504.158,,,1411340774269.0,3568599005994.0,22163979297.0,-5471255402.0,4996632504158.0,
