row_label_raw,row_label_full,Khoản mục,Quyền sử dụng đất,"Bản quyền, nhân hiệu thương mại",Chương trình phần mềm,Tổng cộng,numeric__Quyền sử dụng đất,"numeric__Bản quyền, nhân hiệu thương mại",numeric__Chương trình phần mềm,numeric__Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,57.754.517.947,30.000.000,112.520.668.575,170.305.186.522,57754517947.0,30000000.0,112520668575.0,170305186522.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,-,725.235.707,725.235.707,,,725235707.0,725235707.0
Giám do thoái vốn công ty con,Nguyên giá > Giám do thoái vốn công ty con,Giám do thoái vốn công ty con,-,-,(35.000.000),(35.000.000),,,-35000000.0,-35000000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,57.754.517.947,30.000.000,113.210.904.282,170.995.422.229,57754517947.0,30000000.0,113210904282.0,170995422229.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,30.000.000,108.287.766.708,108.317.766.708,,30000000.0,108287766708.0,108317766708.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,-,1.665.625.914,1.665.625.914,,,1665625914.0,1665625914.0
Giám do thoái vốn công ty con,Giá trị hao mòn lũy kế > Giám do thoái vốn công ty con,Giám do thoái vốn công ty con,-,-,(26.249.985),(26.249.985),,,-26249985.0,-26249985.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,-,30.000.000,109.927.142.637,109.957.142.637,,30000000.0,109927142637.0,109957142637.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,57.754.517.947,-,4.232.901.867,61.987.419.814,57754517947.0,,4232901867.0,61987419814.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,57.754.517.947,-,3.283.761.645,61.038.279.592,57754517947.0,,3283761645.0,61038279592.0
