row_label_raw,row_label_full,NGUỒN VỐN,NGUỒN VỐN_1,Mã số,Thuyết minh,31/12/2025,01/01/2025,numeric__NGUỒN VỐN_1,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2025,numeric__01/01/2025
C.,C.,C.,NỘ PHẢI TRẢ(300 = 310 + 330),300,,191.014.858.442.941,190.486.956.299.042,,300.0,,191014858442941.0,190486956299042.0
I.,I.,I.,Nợ ngắn hạn,310,,95.996.837.653.507,107.222.351.548.398,,310.0,,95996837653507.0,107222351548398.0
1.,1.,1.,Phải trả cho người bán ngắn hạn,311,VI.16,8.067.787.244.982,8.467.334.913.746,,311.0,,8067787244982.0,8467334913746.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,VI.17,20.353.028.512.829,18.915.181.304.285,,312.0,,20353028512829.0,18915181304285.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,VI.18a,2.128.676.257.455,7.908.894.960.310,,313.0,,2128676257455.0,7908894960310.0
4.,4.,4.,Phải trả người lao động,314,VI.19,32.354.730.614,7.696.969.531,,314.0,,32354730614.0,7696969531.0
5.,5.,5.,Chỉ phí phải trả ngắn hạn,315,VI.20a,17.961.987.163.537,13.876.921.539.167,,315.0,,17961987163537.0,13876921539167.0
6.,6.,6.,Doanh thu chưa thực hiện ngắn hạn,318,VI.21a,1.632.042.654,265.182.735,,318.0,,1632042654.0,265182735.0
7.,7.,7.,Phải trả ngắn hạn khác,319,VI.22a,15.684.482.461.710,21.051.435.219.243,,319.0,,15684482461710.0,21051435219243.0
8.,8.,8.,Vay và nợ thuê tài chính ngắn hạn,320,VI.23a,31.718.046.299.679,36.978.198.251.788,,320.0,,31718046299679.0,36978198251788.0
9.,9.,9.,Dự phòng phải trả ngắn hạn,321,VI.24,44.008.232.698,11.588.500.244,,321.0,,44008232698.0,11588500244.0
10.,10.,10.,"Quỹ khen thưởng, phúc lợi",322,,4.834.707.349,4.834.707.349,,322.0,,4834707349.0,4834707349.0
II.,II.,II.,Nợ dài hạn,330,,95.018.020.789.434,83.264.604.750.644,,330.0,,95018020789434.0,83264604750644.0
1.,1.,1.,Chỉ phí phải trả dài hạn,333,VI.20b,606.309.343.080,1.636.869.030.987,,333.0,,606309343080.0,1636869030987.0
2.,2.,2.,Doanh thu chưa thực hiện dài hạn,336,VI.21b,223.394.316.800,74.023.506.748,,336.0,,223394316800.0,74023506748.0
3.,3.,3.,Phải trả dài hạn khác,337,VI.22b,42.367.729.156.137,42.056.028.074.923,,337.0,,42367729156137.0,42056028074923.0
4.,4.,4.,Vay và nợ thuê tài chính dài hạn,338,VI.23b,35.672.724.217.510,24.587.656.403.178,,338.0,,35672724217510.0,24587656403178.0
5.,5.,5.,Thuế thu nhập hoãn lại phải trả,341,VI.25,15.847.123.734.731,14.631.680.390.354,,341.0,,15847123734731.0,14631680390354.0
6.,6.,6.,Dự phòng phải trả dài hạn,342,VI.24,300.740.021.176,278.347.344.454,,342.0,,300740021176.0,278347344454.0
