row_label_raw,row_label_full,col_0,Tỷ lệ vốn góp31/12/2025*,31/12/2025,01/01/2025,numeric__Tỷ lệ vốn góp31/12/2025*,numeric__31/12/2025,numeric__01/01/2025
Công ty Cổ phần Diamond Properties,Công ty Cổ phần Diamond Properties,Công ty Cổ phần Diamond Properties,"7,68%",1.713.992.240.000,1.686.609.870.000,0.0768,1713992240000.0,1686609870000.0
Công ty Cổ phần NovaGroup,Công ty Cổ phần NovaGroup,Công ty Cổ phần NovaGroup,"22,04%",4.918.637.140.000,3.438.407.580.000,0.22039999999999998,4918637140000.0,3438407580000.0
Cổ đông khác,Cổ đông khác,Cổ đông khác,"70,28%",15.687.556.110.000,14.376.027.930.000,0.7028,15687556110000.0,14376027930000.0
Cộng,Cộng,Cộng,"100,00%",22.320.185.490.000,19.501.045.380.000,1.0,22320185490000.0,19501045380000.0
