row_label_raw,row_label_full,col_0,31/12/2025 > Giá gốc,31/12/2025 > Giá trị ghi sổ,01/01/2025 > Giá gốc,01/01/2025 > Giá trị ghi sổ,numeric__31/12/2025 > Giá gốc,numeric__31/12/2025 > Giá trị ghi sổ,numeric__01/01/2025 > Giá gốc,numeric__01/01/2025 > Giá trị ghi sổ
Ngắn hạn,Ngắn hạn,Ngắn hạn,53.843.467.143,53.843.467.143,31.258.216.194,31.258.216.194,53843467143.0,53843467143.0,31258216194.0,31258216194.0
Tiền gửi có kỳ hạn (1),Tiền gửi có kỳ hạn (1),Tiền gửi có kỳ hạn (1),53.843.467.143,53.843.467.143,29.234.616.194,29.234.616.194,53843467143.0,53843467143.0,29234616194.0,29234616194.0
Trái phiếu,Trái phiếu,Trái phiếu,-,-,2.023.600.000,2.023.600.000,,,2023600000.0,2023600000.0
Cộng,Cộng,Cộng,53.843.467.143,53.843.467.143,31.258.216.194,31.258.216.194,53843467143.0,53843467143.0,31258216194.0,31258216194.0
