row_label_raw,row_label_full,Ban Tổng Giám đốc và Kế toán trường,Ban Tổng Giám đốc và Kế toán trường_1,Ban Tổng Giám đốc và Kế toán trường_2,Ban Tổng Giám đốc và Kế toán trường_3,numeric__Ban Tổng Giám đốc và Kế toán trường_1,numeric__Ban Tổng Giám đốc và Kế toán trường_2,numeric__Ban Tổng Giám đốc và Kế toán trường_3
,,,,,Bổ nhiệm,,,
Ông,Ông,Ông,Dương Văn Bắc,Tổng Giám đốc,01/11/2024,,,
Ông,Ông,Ông,Cao Trần Duy Nam,Phó Tổng Giám đốc,15/11/2024,,,
Bà,Bà,Bà,Trần Thị Thanh Vân,Phó Tổng Giám đốc,15/11/2024,,,
Bà,Bà,Bà,Nguyễn Thùy Xuân Mai,Kế toán trường,05/04/2024,,,
