row_label_raw,row_label_full,Ngắn hạn,Ngắn hạn_1,Ngắn hạn_2,numeric__Ngắn hạn_1,numeric__Ngắn hạn_2
Bên liên quan (thuyết minh IX.2b.2),Bên liên quan (thuyết minh IX.2b.2),Bên liên quan (thuyết minh IX.2b.2),105.116.098.583,2.638.995.268.564,105116098583.0,2638995268564.0
Bên thứ ba,Bên thứ ba,Bên thứ ba,15.579.366.363.127,18.412.439.950.679,15579366363127.0,18412439950679.0
Cộng,Cộng,Cộng,15.684.482.461.710,21.051.435.219.243,15684482461710.0,21051435219243.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Bên thứ ba,Dài hạn > Bên thứ ba,Bên thứ ba,42.367.729.156.137,42.056.028.074.923,42367729156137.0,42056028074923.0
Cộng,Dài hạn > Cộng,Cộng,42.367.729.156.137,42.056.028.074.923,42367729156137.0,42056028074923.0
