row_label_raw,row_label_full,col_0,Nhà cửa VND,Tổng cộng VND,numeric__Nhà cửa VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,
Ngày 31 tháng 12 năm 2024,Nguyên giá > Ngày 31 tháng 12 năm 2024,Ngày 31 tháng 12 năm 2024,238.924.536.904,238.924.536.904,238924536904.0,238924536904.0
Ngày 31 tháng 12 năm 2025,Nguyên giá > Ngày 31 tháng 12 năm 2025,Ngày 31 tháng 12 năm 2025,238.924.536.904,238.924.536.904,238924536904.0,238924536904.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,
Ngày 31 tháng 12 năm 2024,Giá trị hao mòn lũy kế > Ngày 31 tháng 12 năm 2024,Ngày 31 tháng 12 năm 2024,133.209.261.241,133.209.261.241,133209261241.0,133209261241.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,9.556.981.476,9.556.981.476,9556981476.0,9556981476.0
Ngày 31 tháng 12 năm 2025,Giá trị hao mòn lũy kế > Ngày 31 tháng 12 năm 2025,Ngày 31 tháng 12 năm 2025,142.766.242.717,142.766.242.717,142766242717.0,142766242717.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,
Ngày 31 tháng 12 năm 2024,Giá trị còn lại > Ngày 31 tháng 12 năm 2024,Ngày 31 tháng 12 năm 2024,105.715.275.663,105.715.275.663,105715275663.0,105715275663.0
Ngày 31 tháng 12 năm 2025,Giá trị còn lại > Ngày 31 tháng 12 năm 2025,Ngày 31 tháng 12 năm 2025,96.158.294.187,96.158.294.187,96158294187.0,96158294187.0
