row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2025,Giá trị ghi sõ VND > Ngày 31 tháng 12 năm 2025,Giá trị hợp lý VND > Ngày 31 tháng 12 năm 2025,numeric__Giá trị ghi sõ VND > Ngày 31 tháng 12 năm 2025,numeric__Giá trị hợp lý VND > Ngày 31 tháng 12 năm 2025
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,
Phải trả các bên có liên quan,Nợ phải trả tài chính > Phải trả các bên có liên quan,Phải trả các bên có liên quan,23.558.641.174,23.558.641.174,23558641174.0,23558641174.0
Phải trả người bán,Nợ phải trả tài chính > Phải trả người bán,Phải trả người bán,18.909.782.604,18.909.782.604,18909782604.0,18909782604.0
Phải trả khác,Nợ phải trả tài chính > Phải trả khác,Phải trả khác,55.478.070.885,55.478.070.885,55478070885.0,55478070885.0
Tổng cộng,Nợ phải trả tài chính > Tổng cộng,Tổng cộng,97.946.494.663,97.946.494.663,97946494663.0,97946494663.0
Ngày 31 tháng 12 năm 2024,Ngày 31 tháng 12 năm 2024,Ngày 31 tháng 12 năm 2024,Ngày 31 tháng 12 năm 2024,Ngày 31 tháng 12 năm 2024,,
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,
Phải trả các bên có liên quan,Nợ phải trả tài chính > Phải trả các bên có liên quan,Phải trả các bên có liên quan,24.981.708.763,24.981.708.763,24981708763.0,24981708763.0
Phải trả người bán,Nợ phải trả tài chính > Phải trả người bán,Phải trả người bán,18.988.014.958,18.988.014.958,18988014958.0,18988014958.0
Phải trả khác,Nợ phải trả tài chính > Phải trả khác,Phải trả khác,52.047.613.526,52.047.613.526,52047613526.0,52047613526.0
Vay và nợ,Nợ phải trả tài chính > Vay và nợ,Vay và nợ,1.677.987.000,1.677.987.000,1677987000.0,1677987000.0
Tổng cộng,Nợ phải trả tài chính > Tổng cộng,Tổng cộng,97.695.324.247,97.695.324.247,97695324247.0,97695324247.0
