row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc (*)VND",Máy mócthiết bịVND,"Phương tiệnvận tải, thiết bịtruyền dẫnVND","Thiết bị,dụng cụ quản lýVND",Tài sảncố định khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúc (*)VND",numeric__Máy mócthiết bịVND,"numeric__Phương tiệnvận tải, thiết bịtruyền dẫnVND","numeric__Thiết bị,dụng cụ quản lýVND",numeric__Tài sảncố định khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Ngày 31 tháng 12 năm 2024,Nguyên giá > Ngày 31 tháng 12 năm 2024,Ngày 31 tháng 12 năm 2024,122.568.586.448,199.996.475.999,192.691.979.498,162.303.941.118,1.962.470.565,679.523.453.628,122568586448.0,199996475999.0,192691979498.0,162303941118.0,1962470565.0,679523453628.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,-,-,-,189.713.636,-,189.713.636,,,,189713636.0,,189713636.0
- Điều chỉnh theo quyết toán,Nguyên giá > - Điều chỉnh theo quyết toán,- Điều chỉnh theo quyết toán,-,-,-,194.549.000,-,194.549.000,,,,194549000.0,,194549000.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,-,(547.284.500),(555.000.000),(1.102.284.500),,,,-547284500.0,-555000000.0,-1102284500.0
Ngày 31 tháng 12 năm 2025,Nguyên giá > Ngày 31 tháng 12 năm 2025,Ngày 31 tháng 12 năm 2025,122.568.586.448,199.996.475.999,192.691.979.498,162.140.919.254,1.407.470.565,678.805.431.764,122568586448.0,199996475999.0,192691979498.0,162140919254.0,1407470565.0,678805431764.0
Trong đó:Đã khấu hao hếtChở thanh lý,Nguyên giá > Trong đó:Đã khấu hao hếtChở thanh lý,Trong đó:Đã khấu hao hếtChở thanh lý,13.386.197.741,134.934.667.896,190.830.974.39534.097.800.000,89.573.367.380-,1.407.470.565-,430.132.677.97734.097.800.000,13386197741.0,134934667896.0,1.9083097439534097e+22,,,4.30132677977341e+22
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,,
Ngày 31 tháng 12 năm 2024,Giá trị khấu hao lũy kế > Ngày 31 tháng 12 năm 2024,Ngày 31 tháng 12 năm 2024,68.992.866.742,177.285.346.497,190.832.641.963,124.591.394.898,1.962.470.565,563.664.720.665,68992866742.0,177285346497.0,190832641963.0,124591394898.0,1962470565.0,563664720665.0
- Khấu hao trong năm,Giá trị khấu hao lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,4.983.960.320,8.242.466.293,310.167.517,21.377.571.219,-,34.914.165.349,4983960320.0,8242466293.0,310167517.0,21377571219.0,,34914165349.0
"- Thanh lý, nhượng bán","Giá trị khấu hao lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,-,(547.284.500),(555.000.000),(1.102.284.500),,,,-547284500.0,-555000000.0,-1102284500.0
Ngày 31 tháng 12 năm 2025,Giá trị khấu hao lũy kế > Ngày 31 tháng 12 năm 2025,Ngày 31 tháng 12 năm 2025,73.976.827.062,185.527.812.790,191.142.809.480,145.421.681.617,1.407.470.565,597.476.601.514,73976827062.0,185527812790.0,191142809480.0,145421681617.0,1407470565.0,597476601514.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Ngày 31 tháng 12 năm 2024,Giá trị còn lại > Ngày 31 tháng 12 năm 2024,Ngày 31 tháng 12 năm 2024,53.575.719.706,22.711.129.502,1.859.337.535,37.712.546.220,-,115.858.732.963,53575719706.0,22711129502.0,1859337535.0,37712546220.0,,115858732963.0
Ngày 31 tháng 12 năm 2025,Giá trị còn lại > Ngày 31 tháng 12 năm 2025,Ngày 31 tháng 12 năm 2025,48.591.759.386,14.468.663.209,1.549.170.018,16.719.237.637,-,81.328.830.250,48591759386.0,14468663209.0,1549170018.0,16719237637.0,,81328830250.0
