row_label_raw,row_label_full,col_0,Quyền sử dụng đất (*) VND,Phần mềm máy tính VND,Tổng cộng VND,numeric__Quyền sử dụng đất (*) VND,numeric__Phần mềm máy tính VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Ngày 31 tháng 12 năm 2024,Nguyên giá > Ngày 31 tháng 12 năm 2024,Ngày 31 tháng 12 năm 2024,302.888.774.063,520.994.150.331,823.882.924.394,302888774063.0,520994150331.0,823882924394.0
- Điều chỉnh theo quyết toán,Nguyên giá > - Điều chỉnh theo quyết toán,- Điều chỉnh theo quyết toán,-,31.617.558,31.617.558,,31617558.0,31617558.0
Ngày 31 tháng 12 năm 2025,Nguyên giá > Ngày 31 tháng 12 năm 2025,Ngày 31 tháng 12 năm 2025,302.888.774.063,521.025.767.889,823.914.541.952,302888774063.0,521025767889.0,823914541952.0
Trong đó:Đã hết hao mòn,Nguyên giá > Trong đó:Đã hết hao mòn,Trong đó:Đã hết hao mòn,-,99.433.677.637,99.433.677.637,,99433677637.0,99433677637.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Ngày 31 tháng 12 năm 2024,Giá trị hao mòn lũy kế > Ngày 31 tháng 12 năm 2024,Ngày 31 tháng 12 năm 2024,68.061.422.614,346.764.991.905,414.826.414.519,68061422614.0,346764991905.0,414826414519.0
- Hao mòn trong năm,Giá trị hao mòn lũy kế > - Hao mòn trong năm,- Hao mòn trong năm,33.675.254.118,61.131.422.900,94.806.677.018,33675254118.0,61131422900.0,94806677018.0
Ngày 31 tháng 12 năm 2025,Giá trị hao mòn lũy kế > Ngày 31 tháng 12 năm 2025,Ngày 31 tháng 12 năm 2025,101.736.676.732,407.896.414.805,509.633.091.537,101736676732.0,407896414805.0,509633091537.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Ngày 31 tháng 12 năm 2024,Giá trị còn lại > Ngày 31 tháng 12 năm 2024,Ngày 31 tháng 12 năm 2024,234.827.351.449,174.229.158.426,409.056.509.875,234827351449.0,174229158426.0,409056509875.0
Ngày 31 tháng 12 năm 2025,Giá trị còn lại > Ngày 31 tháng 12 năm 2025,Ngày 31 tháng 12 năm 2025,201.152.097.331,113.129.353.084,314.281.450.415,201152097331.0,113129353084.0,314281450415.0
