row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Thặng dư vốn cổ phần VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Thặng dư vốn cổ phần VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng cộng VND
Năm 2024,Năm 2024,Năm 2024,Năm 2024,Năm 2024,Năm 2024,Năm 2024,Năm 2024,,,,,
Ngày 31 tháng 12 năm 2023(trình bày lại),Năm 2024 > Ngày 31 tháng 12 năm 2023(trình bày lại),Ngày 31 tháng 12 năm 2023(trình bày lại),7.423.227.640.000,7.310.458.742.807,1.822.475.320.888,1.116.173.018.973(745.069.356.247),17.672.334.722.668(745.069.356.247),7423227640000.0,7310458742807.0,1822475320888.0,,
- Chi trả cổ tức cho cổ đông,Năm 2024 > - Chi trả cổ tức cho cổ đông,- Chi trả cổ tức cho cổ đông,-,-,-,(36.187.556.080),(36.187.556.080),,,,-36187556080.0,-36187556080.0
- Trích Quỹ khen thưởng phúc lợi và Quỹ thưởng cho người Quản lý,Năm 2024 > - Trích Quỹ khen thưởng phúc lợi và Quỹ thưởng cho người Quản lý,- Trích Quỹ khen thưởng phúc lợi và Quỹ thưởng cho người Quản lý,-,-,334.829.549.816,(334.829.549.816),-,,,334829549816.0,-334829549816.0,
- Trích Quỹ Đầu tư phát triển,Năm 2024 > - Trích Quỹ Đầu tư phát triển,- Trích Quỹ Đầu tư phát triển,-,-,-,1.180.182.814.370,1.180.182.814.370,,,,1180182814370.0,1180182814370.0
- Lợi nhuận trong năm,- Lợi nhuận trong năm,- Lợi nhuận trong năm,-,-,-,-,-,,,,,
Ngày 31 tháng 12 năm 2024,- Lợi nhuận trong năm > Ngày 31 tháng 12 năm 2024,Ngày 31 tháng 12 năm 2024,7.423.227.640.000,7.310.458.742.807,2.157.304.870.704,1.180.269.371.200,18.071.260.624.711,7423227640000.0,7310458742807.0,2157304870704.0,1180269371200.0,18071260624711.0
Năm 2025,Năm 2025,Năm 2025,Năm 2025,Năm 2025,Năm 2025,Năm 2025,Năm 2025,,,,,
Ngày 31 tháng 12 năm 2024,Năm 2025 > Ngày 31 tháng 12 năm 2024,Ngày 31 tháng 12 năm 2024,7.423.227.640.000,7.310.458.742.807,2.157.304.870.704,1.180.269.371.200(783.224.748.303),18.071.260.624.711(783.224.748.303),7423227640000.0,7310458742807.0,2157304870704.0,,
- Chi trả cổ tức cho cổ đông,Năm 2025 > - Chi trả cổ tức cho cổ đông,- Chi trả cổ tức cho cổ đông,-,-,-,(42.925.592.493),(42.925.592.493),,,,-42925592493.0,-42925592493.0
- Trích Quỹ khen thưởng phúc lợi và Quỹ thưởng cho người Quản lý (*),Năm 2025 > - Trích Quỹ khen thưởng phúc lợi và Quỹ thưởng cho người Quản lý (*),- Trích Quỹ khen thưởng phúc lợi và Quỹ thưởng cho người Quản lý (*),-,-,354.054.844.311,(354.054.844.311),-,,,354054844311.0,-354054844311.0,
- Trích Quỹ Đầu tư phát triển (*),Năm 2025 > - Trích Quỹ Đầu tư phát triển (*),- Trích Quỹ Đầu tư phát triển (*),-,-,-,1.285.413.218.955,1.285.413.218.955,,,,1285413218955.0,1285413218955.0
- Lợi nhuận trong năm,- Lợi nhuận trong năm,- Lợi nhuận trong năm,-,-,-,-,-,,,,,
Ngày 31 tháng 12 năm 2025,- Lợi nhuận trong năm > Ngày 31 tháng 12 năm 2025,Ngày 31 tháng 12 năm 2025,7.423.227.640.000,7.310.458.742.807,2.511.359.715.015,1.285.477.405.048,18.530.523.502.870,7423227640000.0,7310458742807.0,2511359715015.0,1285477405048.0,18530523502870.0
